State,population,Name
AL,4903185.0,Alabama
AK,731545.0,Alaska
AS,,American Samoa
AZ,7278717.0,Arizona
AR,3017804.0,Arkansas
CA,39512223.0,California
CO,5758736.0,Colorado
CT,3565287.0,Connecticut
DE,973764.0,Delaware
DC,705749.0,District of Columbia
FL,21477737.0,Florida
GA,10617423.0,Georgia
GU,,Guam
HI,1415872.0,Hawaii
ID,1787065.0,Idaho
IL,12671821.0,Illinois
IN,6732219.0,Indiana
IA,3155070.0,Iowa
KS,2913314.0,Kansas
KY,4467673.0,Kentucky
LA,4648794.0,Louisiana
ME,1344212.0,Maine
MD,6045680.0,Maryland
MA,6892503.0,Massachusetts
MI,9986857.0,Michigan
MN,5639632.0,Minnesota
MS,2976149.0,Mississippi
MO,6137428.0,Missouri
MT,1068778.0,Montana
NE,1934408.0,Nebraska
NV,3080156.0,Nevada
NH,1359711.0,New Hampshire
NJ,8882190.0,New Jersey
NM,2096829.0,New Mexico
NY,19453561.0,New York
NC,10488084.0,North Carolina
ND,762062.0,North Dakota
MP,,Northern Mariana Islands
OH,11689100.0,Ohio
OK,3956971.0,Oklahoma
OR,4217737.0,Oregon
PA,12801989.0,Pennsylvania
PR,,Puerto Rico
RI,1059361.0,Rhode Island
SC,5148714.0,South Carolina
SD,884659.0,South Dakota
TN,6829174.0,Tennessee
TX,28995881.0,Texas
UT,3205958.0,Utah
VT,623989.0,Vermont
VI,,Virgin Islands
VA,8535519.0,Virginia
WA,7614893.0,Washington
WV,1792147.0,West Virginia
WI,5822434.0,Wisconsin
WY,578759.0,Wyoming
