State,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29
Alabama,40.0,57.0,49.0,50.0,50.0,52.0,50.0,38.0,51.0,60.0,58.0,45.0,64.0,55.55555555555556,40.0,43.0,45.0,68.0,57.0,49.0,47.0,49.0,43.0,51.0,54.0,59.0,51.0,50.0,49.0,42.0,54.0,66.30434782608695,66.0,62.0,52.0,55.0,62.0,50.0,64.58333333333334,58.0,61.0,57.0,60.204081632653065,48.0,52.0,46.0,59.183673469387756,51.0,61.0,75.0,50.0,54.0,68.68686868686869,56.0,54.0,53.0,45.0,49.0,61.0,53.535353535353536,49.0,66.3265306122449,62.5,52.0,59.0,53.0,52.0,56.0,54.0,54.0,59.0,61.62790697674419,57.0,40.0,48.78048780487805,67.41573033707866,51.0,51.64835164835165,57.57575757575758,65.11627906976744,48.45360824742268,44.44444444444444,54.54545454545455,52.577319587628864,46.0,61.95652173913043,52.77777777777778,62.35294117647059,59.036144578313255,46.753246753246756,54.411764705882355,60.0,53.12500000000001,46.0,70.4225352112676,59.375,62.71186440677966,48.31460674157304,40.229885057471265,54.76190476190476,58.666666666666664,50.0,41.02564102564103,60.0,49.090909090909086,55.55555555555556,43.83561643835616,50.0,51.42857142857143,48.684210526315795,51.0,59.21052631578948,47.05882352941177,50.0,60.60606060606061,50.70422535211267,44.44444444444444,62.068965517241374,48.484848484848484,51.66666666666667,55.4054054054054,60.294117647058826,48.148148148148145,63.46153846153846,43.02325581395349,47.82608695652174,42.69662921348315,46.25,42.857142857142854,43.75,50.943396226415096,56.4516129032258,42.168674698795186,47.61904761904761,60.78431372549019,51.851851851851855,49.18032786885246,55.10204081632653,55.55555555555556,57.4468085106383,55.769230769230774,65.3061224489796,44.44444444444444,51.72413793103448,53.7037037037037,61.111111111111114,46.15384615384615,52.459016393442624,52.307692307692314,43.28358208955224,53.06122448979592,50.0,51.94805194805195,50.0,50.79365079365079,61.29032258064516,47.36842105263158,44.06779661016949,40.29850746268657,59.09090909090909,43.333333333333336,46.96969696969697,52.631578947368425,64.70588235294119,61.01694915254237,50.0,48.333333333333336,53.42465753424657,43.0,44.44444444444445,48.529411764705884,49.29577464788732,48.529411764705884,61.194029850746276,55.55555555555555,54.54545454545455,59.036144578313255,44.89795918367347,41.81818181818182,45.20547945205479,50.0,56.25,59.09090909090909,51.515151515151516,46.34146341463415,64.61538461538461,51.42857142857143,55.55555555555556,46.478873239436616,49.35064935064935,51.25,50.666666666666664,52.4390243902439,50.00000000000001
Alaska,38.0,71.0,53.0,46.0,26.0,67.0,67.0,39.0,35.0,49.0,72.0,64.0,48.0,63.63636363636364,48.0,70.0,77.0,54.0,39.0,49.0,51.0,55.0,69.0,53.0,44.0,62.0,59.0,44.0,56.0,37.0,47.0,53.26086956521739,48.0,51.0,52.0,50.0,73.0,43.87755102040816,78.125,79.0,64.0,82.0,62.244897959183675,42.0,60.0,49.0,78.57142857142857,41.0,75.0,88.0,29.0,53.0,52.525252525252526,39.0,37.0,69.0,42.0,60.0,94.0,59.5959595959596,52.0,54.08163265306123,25.0,62.0,44.0,65.0,52.0,63.0,33.0,59.0,90.0,54.651162790697676,56.0,42.0,68.29268292682927,65.1685393258427,48.0,34.065934065934066,57.57575757575758,67.44186046511628,68.04123711340205,68.88888888888889,50.64935064935065,96.90721649484536,54.0,26.08695652173913,43.05555555555556,69.41176470588236,34.93975903614458,61.03896103896104,72.05882352941177,52.0,54.16666666666667,36.0,54.92957746478873,48.4375,100.0,62.921348314606746,57.47126436781609,41.666666666666664,72.0,77.08333333333334,64.1025641025641,70.0,56.36363636363636,46.2962962962963,23.28767123287671,57.57575757575758,75.71428571428572,43.42105263157895,43.0,61.8421052631579,50.58823529411765,52.0,78.78787878787878,47.88732394366197,58.73015873015873,53.44827586206896,42.42424242424242,35.0,43.24324324324324,51.47058823529412,62.96296296296296,75.0,33.72093023255814,69.56521739130434,48.31460674157304,30.0,33.76623376623377,35.0,45.283018867924525,67.74193548387096,46.98795180722892,55.55555555555555,52.94117647058823,38.888888888888886,72.1311475409836,73.46938775510205,71.11111111111111,42.5531914893617,67.3076923076923,67.34693877551021,49.382716049382715,53.44827586206896,42.592592592592595,31.48148148148148,49.23076923076923,60.65573770491803,52.307692307692314,31.343283582089555,69.38775510204081,50.0,38.96103896103896,28.78787878787879,31.746031746031743,38.70967741935483,48.684210526315795,54.23728813559322,32.83582089552239,33.333333333333336,35.0,37.878787878787875,39.473684210526315,70.58823529411765,72.88135593220339,61.76470588235294,68.33333333333334,63.013698630136986,39.0,42.42424242424243,36.76470588235294,71.83098591549296,63.235294117647065,58.2089552238806,66.66666666666666,50.90909090909091,40.96385542168675,56.12244897959184,58.18181818181818,19.17808219178082,43.75,57.8125,46.96969696969697,69.6969696969697,70.73170731707317,49.23076923076923,60.0,58.33333333333333,56.33802816901408,54.54545454545455,62.5,54.666666666666664,46.34146341463415,66.66666666666667
Arizona,54.0,71.0,51.0,60.0,48.0,58.0,55.0,50.0,54.0,73.0,53.0,54.0,49.0,56.56565656565657,49.0,54.0,52.0,57.0,65.0,52.0,51.0,57.0,65.0,59.0,58.0,55.0,51.0,50.0,53.0,59.0,60.0,68.47826086956522,71.0,69.0,55.0,51.0,69.0,60.204081632653065,66.66666666666667,61.0,60.0,57.0,55.10204081632653,41.0,59.0,44.0,63.26530612244898,50.0,64.0,62.0,52.0,57.0,77.77777777777779,72.0,62.0,54.0,59.0,65.0,62.0,62.62626262626263,51.0,68.36734693877551,66.25,66.0,65.0,67.0,56.0,82.0,60.0,70.0,67.0,74.4186046511628,65.0,50.0,58.536585365853654,66.29213483146069,65.0,62.63736263736264,67.67676767676768,68.6046511627907,52.577319587628864,45.55555555555556,64.93506493506493,62.88659793814432,57.0,65.21739130434783,68.05555555555556,63.529411764705884,61.445783132530124,51.94805194805195,64.70588235294119,68.0,52.083333333333336,50.0,57.74647887323943,59.375,61.01694915254237,39.325842696629216,42.5287356321839,52.38095238095238,62.666666666666664,65.625,55.12820512820513,58.333333333333336,54.54545454545455,55.55555555555556,47.94520547945205,53.03030303030303,55.714285714285715,51.31578947368421,48.0,48.684210526315795,48.23529411764706,46.0,54.54545454545455,54.92957746478873,47.61904761904761,48.275862068965516,65.15151515151516,56.66666666666667,52.7027027027027,60.294117647058826,59.25925925925926,61.53846153846154,45.34883720930233,55.072463768115945,42.69662921348315,48.75,51.94805194805195,38.75,56.60377358490566,48.387096774193544,42.168674698795186,47.61904761904761,52.94117647058823,51.851851851851855,45.90163934426229,57.142857142857146,57.77777777777778,53.191489361702125,51.92307692307693,57.142857142857146,46.913580246913575,53.44827586206896,51.851851851851855,50.0,58.46153846153847,52.459016393442624,46.15384615384615,53.73134328358209,53.06122448979592,48.333333333333336,41.55844155844156,46.96969696969697,49.2063492063492,67.74193548387096,52.631578947368425,52.54237288135593,46.268656716417915,57.57575757575758,51.66666666666667,51.515151515151516,44.736842105263165,64.70588235294119,52.54237288135593,52.94117647058824,55.0,53.42465753424657,44.0,50.505050505050505,51.47058823529412,59.154929577464785,52.94117647058824,61.194029850746276,62.96296296296296,74.54545454545455,72.28915662650603,51.02040816326531,52.72727272727273,49.31506849315068,51.5625,57.8125,56.06060606060606,59.09090909090909,58.536585365853654,70.76923076923077,51.42857142857143,59.72222222222222,61.97183098591549,67.53246753246754,70.0,65.33333333333333,59.75609756097561,48.71794871794872
Arkansas,44.0,65.0,48.0,48.0,41.0,52.0,63.0,51.0,53.0,58.0,54.0,34.0,41.0,51.515151515151516,57.0,47.0,44.0,52.0,59.0,59.0,42.0,39.0,42.0,54.0,50.0,63.0,43.0,54.0,62.0,43.0,56.0,60.8695652173913,51.0,59.0,55.0,49.0,60.0,59.183673469387756,65.625,61.0,53.0,60.0,43.87755102040816,53.0,46.0,35.0,58.16326530612245,57.0,66.0,52.0,37.0,39.0,45.45454545454546,48.0,41.0,47.0,38.0,45.0,43.0,45.45454545454546,55.0,62.244897959183675,56.25,55.0,63.0,57.0,57.0,60.0,45.0,66.0,55.0,51.162790697674424,48.0,44.0,53.65853658536585,52.80898876404495,49.0,41.75824175824176,47.47474747474748,58.139534883720934,42.268041237113394,43.333333333333336,59.74025974025974,36.08247422680412,37.0,45.65217391304348,50.0,57.64705882352941,54.216867469879524,37.66233766233766,67.64705882352942,57.33333333333333,41.66666666666667,38.0,67.6056338028169,68.75,54.23728813559322,42.69662921348315,45.97701149425287,46.42857142857143,53.33333333333333,52.083333333333336,46.15384615384616,46.66666666666667,40.0,40.74074074074074,39.726027397260275,53.03030303030303,61.42857142857143,44.736842105263165,39.0,40.78947368421053,36.470588235294116,40.0,51.515151515151516,43.66197183098591,46.03174603174603,44.82758620689655,57.57575757575758,53.333333333333336,44.5945945945946,52.94117647058824,57.407407407407405,69.23076923076923,55.81395348837209,49.27536231884058,35.95505617977528,46.25,51.94805194805195,50.0,49.056603773584904,46.774193548387096,39.75903614457832,41.269841269841265,56.86274509803921,50.0,52.459016393442624,57.142857142857146,42.22222222222222,44.680851063829785,40.38461538461539,59.183673469387756,46.913580246913575,36.206896551724135,64.81481481481481,44.44444444444444,49.23076923076923,52.459016393442624,40.0,49.25373134328358,53.06122448979592,45.0,38.96103896103896,42.42424242424242,52.38095238095238,59.677419354838705,36.8421052631579,50.847457627118644,40.29850746268657,53.03030303030303,41.66666666666667,46.96969696969697,42.10526315789474,61.76470588235294,57.62711864406779,51.47058823529412,55.0,52.054794520547944,41.0,38.38383838383839,38.23529411764706,40.84507042253521,42.64705882352941,59.701492537313435,53.08641975308642,49.090909090909086,53.01204819277109,33.673469387755105,47.27272727272727,56.16438356164383,53.125,35.9375,48.484848484848484,53.03030303030303,51.21951219512195,50.769230769230774,50.0,40.27777777777778,47.88732394366197,72.72727272727272,66.25,56.0,43.90243902439024,50.00000000000001
California,42.0,59.0,53.0,58.0,49.0,63.0,57.0,54.0,62.0,76.0,70.0,58.0,59.0,58.58585858585859,48.0,52.0,59.0,71.0,69.0,57.0,57.0,53.0,65.0,58.0,62.0,62.0,55.0,46.0,48.0,51.0,56.0,58.69565217391304,65.0,66.0,57.0,57.0,66.0,64.28571428571429,75.0,61.0,65.0,59.0,60.204081632653065,52.0,61.0,48.0,63.26530612244898,49.0,65.0,62.0,52.0,52.0,65.65656565656566,59.0,55.0,48.0,46.0,56.0,56.0,56.56565656565657,54.0,59.183673469387756,57.5,57.0,64.0,58.0,52.0,71.0,50.0,59.0,56.0,58.139534883720934,53.0,45.0,57.3170731707317,66.29213483146069,62.0,53.846153846153854,56.56565656565657,65.11627906976744,62.88659793814432,50.0,63.63636363636363,58.762886597938135,55.0,63.04347826086956,63.888888888888886,67.05882352941177,61.445783132530124,58.44155844155844,70.58823529411765,60.0,55.208333333333336,50.0,69.01408450704224,70.3125,71.1864406779661,48.31460674157304,45.97701149425287,54.76190476190476,64.0,66.66666666666667,57.6923076923077,61.66666666666667,58.18181818181818,53.7037037037037,49.31506849315068,53.03030303030303,55.714285714285715,51.31578947368421,50.0,53.94736842105264,48.23529411764706,48.0,66.66666666666667,60.56338028169014,63.49206349206349,60.34482758620689,62.12121212121212,53.333333333333336,51.35135135135135,60.294117647058826,62.96296296296296,63.46153846153846,50.0,56.52173913043478,43.82022471910113,51.25,49.35064935064935,47.5,58.49056603773585,54.83870967741935,44.578313253012055,50.79365079365079,56.86274509803921,51.851851851851855,52.459016393442624,57.142857142857146,68.88888888888889,57.4468085106383,53.84615384615385,59.183673469387756,51.85185185185185,58.62068965517241,57.407407407407405,61.111111111111114,55.38461538461539,47.540983606557376,46.15384615384615,46.268656716417915,59.183673469387756,53.333333333333336,49.35064935064935,48.484848484848484,47.61904761904761,59.677419354838705,47.36842105263158,54.23728813559322,41.791044776119406,50.0,50.0,45.45454545454545,42.10526315789474,60.294117647058826,57.62711864406779,57.352941176470594,60.0,54.794520547945204,41.0,40.40404040404041,50.0,52.112676056338024,52.94117647058824,61.194029850746276,59.25925925925925,60.0,62.65060240963856,41.83673469387755,52.72727272727273,47.94520547945205,54.6875,54.6875,56.06060606060606,59.09090909090909,58.536585365853654,63.07692307692308,54.285714285714285,61.11111111111111,53.52112676056338,61.03896103896104,58.75,61.33333333333333,59.75609756097561,55.12820512820513
Colorado,43.0,55.0,54.0,65.0,49.0,58.0,69.0,48.0,59.0,78.0,70.0,58.0,67.0,57.57575757575758,58.0,57.0,53.0,68.0,64.0,56.0,62.0,59.0,82.0,65.0,55.0,66.0,57.0,48.0,48.0,48.0,53.0,54.347826086956516,68.0,70.0,64.0,59.0,69.0,72.44897959183673,78.125,63.0,56.0,62.0,61.224489795918366,60.0,66.0,48.0,68.36734693877551,59.0,74.0,67.0,51.0,49.0,70.70707070707071,60.0,55.0,54.0,47.0,56.0,62.0,58.58585858585859,52.0,57.142857142857146,51.25,57.0,57.0,73.0,62.0,91.0,62.0,73.0,69.0,76.74418604651163,70.0,53.0,63.41463414634146,74.15730337078652,67.0,62.63736263736264,68.68686868686869,72.09302325581396,68.04123711340205,47.77777777777778,62.33766233766234,71.13402061855669,62.0,75.0,73.61111111111111,78.82352941176471,59.036144578313255,68.83116883116882,72.05882352941177,68.0,55.208333333333336,53.0,73.2394366197183,79.6875,93.22033898305084,53.932584269662925,57.47126436781609,73.80952380952381,70.66666666666666,73.95833333333334,70.51282051282053,68.33333333333334,69.0909090909091,68.51851851851852,64.38356164383562,69.6969696969697,65.71428571428572,56.578947368421055,56.0,59.21052631578948,61.1764705882353,61.0,66.66666666666667,52.112676056338024,63.49206349206349,65.51724137931033,65.15151515151516,66.66666666666667,55.4054054054054,63.235294117647065,70.37037037037037,65.38461538461539,59.30232558139535,60.869565217391305,49.438202247191015,60.0,55.84415584415584,55.0,64.15094339622641,62.90322580645161,53.01204819277109,66.66666666666666,70.58823529411764,61.111111111111114,63.9344262295082,69.38775510204081,80.0,68.08510638297872,75.0,85.71428571428572,53.08641975308642,60.34482758620689,70.37037037037037,72.22222222222223,69.23076923076924,65.57377049180329,66.15384615384616,59.701492537313435,63.26530612244898,53.333333333333336,58.44155844155844,62.12121212121212,68.25396825396825,70.96774193548387,69.73684210526316,62.71186440677966,46.268656716417915,66.66666666666667,65.0,65.15151515151516,57.89473684210527,73.52941176470588,67.79661016949152,60.294117647058826,65.0,69.86301369863013,54.0,59.5959595959596,66.1764705882353,59.154929577464785,55.88235294117648,65.67164179104478,74.07407407407408,80.0,81.9277108433735,59.183673469387756,65.45454545454545,61.64383561643835,62.5,70.3125,74.24242424242424,83.33333333333333,65.85365853658537,72.3076923076923,68.57142857142857,76.38888888888889,61.97183098591549,79.22077922077922,67.5,70.66666666666666,68.29268292682927,69.23076923076924
Connecticut,49.0,52.0,51.0,63.0,42.0,48.0,55.0,64.0,67.0,71.0,71.0,58.0,68.0,63.63636363636364,54.0,44.0,59.0,67.0,61.0,51.0,56.0,41.0,60.0,70.0,60.0,62.0,47.0,46.0,49.0,57.0,46.0,59.78260869565217,66.0,67.0,62.0,61.0,69.0,60.204081632653065,79.16666666666667,65.0,70.0,63.0,63.26530612244898,56.0,63.0,51.0,71.42857142857143,49.0,71.0,59.0,56.0,55.0,62.62626262626263,60.0,49.0,47.0,53.0,60.0,63.0,64.64646464646465,60.0,58.16326530612245,58.75,69.0,66.0,72.0,48.0,76.0,59.0,70.0,57.0,66.27906976744187,57.0,51.0,58.536585365853654,64.04494382022472,61.0,52.74725274725275,59.5959595959596,60.46511627906977,65.97938144329896,46.66666666666667,62.33766233766234,55.6701030927835,58.0,63.04347826086956,68.05555555555556,60.0,65.06024096385542,70.12987012987013,80.88235294117648,68.0,59.37500000000001,56.0,77.46478873239437,59.375,69.49152542372882,53.932584269662925,50.574712643678154,53.57142857142857,66.66666666666666,71.875,65.38461538461539,73.33333333333334,70.9090909090909,70.37037037037037,47.94520547945205,71.21212121212122,62.85714285714286,56.578947368421055,67.0,64.47368421052632,58.82352941176471,56.0,68.18181818181819,67.6056338028169,68.25396825396825,67.24137931034483,71.21212121212122,68.33333333333334,59.45945945945946,66.1764705882353,77.77777777777777,80.76923076923077,68.6046511627907,81.15942028985508,56.17977528089888,53.75,57.14285714285714,58.75,66.0377358490566,74.19354838709677,54.216867469879524,74.6031746031746,74.50980392156862,72.22222222222223,63.9344262295082,79.59183673469389,73.33333333333334,74.46808510638297,71.15384615384616,71.42857142857143,59.25925925925925,72.41379310344827,79.62962962962963,75.92592592592592,70.76923076923077,67.21311475409836,61.53846153846154,64.17910447761194,79.59183673469389,61.66666666666667,62.33766233766234,66.66666666666667,66.66666666666666,80.64516129032258,67.10526315789474,67.79661016949152,58.2089552238806,78.78787878787878,65.0,59.09090909090909,57.89473684210527,75.0,72.88135593220339,63.235294117647065,63.333333333333336,64.38356164383562,56.0,48.484848484848484,70.58823529411765,64.78873239436619,64.70588235294119,71.64179104477613,71.60493827160494,85.45454545454545,72.28915662650603,44.89795918367347,65.45454545454545,54.794520547945204,64.0625,67.1875,75.75757575757575,72.72727272727272,68.29268292682927,63.07692307692308,60.0,62.5,73.2394366197183,79.22077922077922,77.5,50.666666666666664,57.3170731707317,60.25641025641026
Delaware,33.0,46.0,34.0,39.0,58.0,36.0,53.0,69.0,71.0,70.0,53.0,57.0,48.0,46.46464646464647,48.0,46.0,62.0,86.0,55.0,64.0,44.0,41.0,69.0,64.0,48.0,56.0,51.0,32.0,35.0,51.0,60.0,69.56521739130434,73.0,60.0,55.0,58.0,50.0,59.183673469387756,65.625,77.0,51.0,46.0,65.3061224489796,63.0,46.0,61.0,51.02040816326531,40.0,53.0,51.0,43.0,44.0,36.36363636363637,51.0,54.0,36.0,46.0,65.0,50.0,48.484848484848484,44.0,63.26530612244898,62.5,68.0,84.0,62.0,60.0,67.0,58.0,59.0,45.0,56.97674418604652,44.0,33.0,36.58536585365854,56.17977528089888,61.0,50.549450549450555,67.67676767676768,81.39534883720931,63.91752577319587,58.88888888888889,53.246753246753244,48.45360824742268,56.0,66.30434782608695,65.27777777777777,54.11764705882353,62.65060240963856,54.54545454545455,76.47058823529412,73.33333333333333,57.29166666666667,61.0,66.19718309859155,93.75,89.83050847457626,60.67415730337079,48.275862068965516,53.57142857142857,70.66666666666666,57.29166666666667,44.871794871794876,50.0,54.54545454545455,81.48148148148148,71.23287671232876,59.09090909090909,41.42857142857143,52.631578947368425,52.0,57.89473684210527,44.70588235294118,64.0,51.515151515151516,46.478873239436616,55.55555555555555,37.93103448275862,48.484848484848484,55.0,66.21621621621621,58.82352941176471,53.7037037037037,61.53846153846154,48.83720930232558,76.81159420289855,46.06741573033708,63.75,59.74025974025974,51.25,49.056603773584904,58.064516129032256,50.60240963855422,42.857142857142854,58.8235294117647,59.25925925925926,55.73770491803279,34.69387755102041,64.44444444444444,55.31914893617021,53.84615384615385,67.34693877551021,39.50617283950617,36.206896551724135,62.96296296296296,68.51851851851852,58.46153846153847,42.622950819672134,46.15384615384615,59.701492537313435,69.38775510204081,48.333333333333336,64.93506493506493,68.18181818181819,65.07936507936508,66.12903225806451,43.42105263157895,54.23728813559322,61.194029850746276,37.878787878787875,48.333333333333336,50.0,50.0,55.88235294117648,42.3728813559322,51.47058823529412,58.333333333333336,63.013698630136986,52.0,47.47474747474748,69.11764705882354,49.29577464788732,41.1764705882353,52.23880597014926,45.67901234567901,72.72727272727272,69.87951807228916,57.142857142857146,60.0,52.054794520547944,76.5625,45.3125,56.06060606060606,59.09090909090909,58.536585365853654,58.46153846153847,42.85714285714286,79.16666666666666,50.70422535211267,76.62337662337663,61.25,56.0,48.78048780487805,47.43589743589744
District of Columbia,59.0,44.0,100.0,100.0,48.0,67.0,90.0,64.0,68.0,90.0,100.0,75.0,65.0,95.95959595959597,53.0,72.0,98.0,93.0,76.0,100.0,64.0,72.0,88.0,100.0,85.0,72.0,74.0,71.0,49.0,55.0,70.0,91.30434782608695,100.0,82.0,87.0,89.0,83.0,86.73469387755102,100.0,79.0,72.0,84.0,71.42857142857143,48.0,100.0,100.0,83.6734693877551,100.0,80.0,70.0,63.0,52.0,79.7979797979798,87.0,78.0,61.0,54.0,82.0,79.0,100.0,64.0,64.28571428571429,62.5,85.0,69.0,65.0,58.0,86.0,72.0,88.0,83.0,88.37209302325581,67.0,59.0,87.80487804878048,71.91011235955057,76.0,41.75824175824176,77.77777777777779,80.23255813953489,82.4742268041237,58.88888888888889,62.33766233766234,99.99999999999999,67.0,58.69565217391304,83.33333333333333,90.58823529411765,69.87951807228916,85.71428571428571,85.29411764705883,61.33333333333333,77.08333333333334,58.0,71.83098591549296,87.5,93.22033898305084,60.67415730337079,78.16091954022988,100.0,84.0,68.75,91.02564102564104,81.66666666666667,89.0909090909091,61.111111111111114,64.38356164383562,84.84848484848484,80.0,92.10526315789474,74.0,69.73684210526316,69.41176470588236,73.0,66.66666666666667,80.28169014084506,100.0,82.75862068965517,86.36363636363636,96.66666666666667,75.67567567567568,80.88235294117648,68.51851851851852,80.76923076923077,60.46511627906977,92.7536231884058,78.65168539325843,85.0,61.03896103896104,63.75,84.90566037735849,75.80645161290322,74.6987951807229,76.19047619047619,64.70588235294117,79.62962962962963,100.0,87.75510204081633,95.55555555555556,82.97872340425532,88.46153846153847,89.79591836734694,90.12345679012346,68.9655172413793,83.33333333333333,100.0,75.38461538461539,62.295081967213115,64.61538461538461,64.17910447761194,97.9591836734694,95.0,76.62337662337663,95.45454545454545,90.47619047619047,95.16129032258064,85.52631578947368,100.0,100.0,72.72727272727272,81.66666666666667,100.0,63.15789473684211,94.11764705882354,86.44067796610169,77.94117647058825,91.66666666666667,80.82191780821917,68.0,100.0,100.0,84.50704225352112,50.0,85.07462686567165,62.96296296296296,89.0909090909091,100.00000000000001,58.16326530612245,87.27272727272727,100.0,100.0,70.3125,92.42424242424242,100.0,100.0,80.0,64.28571428571429,100.0,85.91549295774647,94.8051948051948,100.0,85.33333333333333,64.6341463414634,100.00000000000001
Florida,49.0,60.0,50.0,55.0,48.0,58.0,58.0,50.0,55.0,69.0,62.0,51.0,52.0,52.525252525252526,47.0,54.0,57.0,62.0,58.0,53.0,56.0,53.0,63.0,57.0,61.0,62.0,52.0,47.0,48.0,54.0,56.0,58.69565217391304,66.0,64.0,54.0,57.0,71.0,64.28571428571429,69.79166666666667,62.0,66.0,64.0,64.28571428571429,55.0,63.0,51.0,73.46938775510205,55.0,71.0,71.0,60.0,58.0,71.71717171717172,66.0,58.0,56.0,55.0,65.0,61.0,64.64646464646465,63.0,69.38775510204081,65.0,68.0,77.0,74.0,58.0,81.0,62.0,73.0,70.0,75.58139534883722,65.0,53.0,64.6341463414634,71.91011235955057,76.0,68.13186813186813,69.6969696969697,74.4186046511628,69.0721649484536,58.88888888888889,76.62337662337663,69.0721649484536,66.0,76.08695652173913,77.77777777777777,72.94117647058823,72.28915662650603,63.63636363636363,77.94117647058825,76.0,68.75,57.0,81.69014084507042,84.375,76.27118644067797,61.79775280898877,63.218390804597696,64.28571428571429,65.33333333333333,66.66666666666667,61.53846153846155,70.0,67.27272727272727,59.25925925925926,57.534246575342465,62.12121212121212,61.42857142857143,61.8421052631579,55.0,57.89473684210527,54.11764705882353,50.0,62.12121212121212,60.56338028169014,61.9047619047619,62.068965517241374,72.72727272727272,60.0,59.45945945945946,63.235294117647065,70.37037037037037,63.46153846153846,53.48837209302326,62.31884057971015,55.0561797752809,58.75,55.84415584415584,50.0,64.15094339622641,62.90322580645161,55.42168674698796,52.38095238095238,66.66666666666666,59.25925925925926,59.016393442622956,65.3061224489796,73.33333333333334,68.08510638297872,73.07692307692308,79.59183673469389,59.25925925925925,62.068965517241374,68.51851851851852,70.37037037037037,67.6923076923077,65.57377049180329,58.46153846153847,53.73134328358209,69.38775510204081,60.0,55.84415584415584,60.60606060606061,61.9047619047619,72.58064516129032,55.26315789473685,57.62711864406779,46.268656716417915,63.63636363636363,61.66666666666667,63.63636363636363,55.26315789473685,72.05882352941177,62.71186440677966,63.235294117647065,65.0,64.38356164383562,49.0,55.55555555555556,64.70588235294119,66.19718309859155,61.76470588235294,74.6268656716418,74.07407407407408,72.72727272727272,78.3132530120482,53.06122448979592,61.81818181818181,58.90410958904109,64.0625,68.75,77.27272727272727,78.78787878787878,68.29268292682927,72.3076923076923,67.14285714285714,72.22222222222221,60.56338028169014,80.51948051948052,75.0,69.33333333333333,64.6341463414634,62.820512820512825
