State,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29
Alabama,14.583333333333334,17.333333333333332,5.0,13.0,19.0,13.0,9.0,16.853932584269664,12.195121951219512,11.0,7.4074074074074066,14.634146341463413,18.0,4.938271604938271,7.0,9.0,7.692307692307693,14.0,6.410256410256411,34.88372093023256,10.294117647058824,12.857142857142858,18.461538461538463,12.5,10.0,22.0,12.121212121212121,9.859154929577464,6.410256410256411,5.813953488372094,9.0,15.0,4.0,9.0,10.204081632653061,13.432835820895523,9.45945945945946,20.224719101123597,0.0,11.864406779661017,24.0,5.0,4.0,3.260869565217391,24.0,10.0,6.0,12.5,10.309278350515463,5.0,12.5,6.0,13.0,16.0,18.75,19.230769230769234,14.141414141414142,21.0,13.793103448275861,11.0,18.6046511627907,7.0,27.0,17.307692307692307,8.536585365853659,7.0,11.53846153846154,14.285714285714285,32.142857142857146,11.0,14.141414141414142,23.4375,13.0,13.0,21.649484536082472,3.6585365853658534,15.0,16.417910447761194,15.0,20.652173913043477,12.0,8.333333333333334,12.0,14.0,15.853658536585366,4.0,15.0,16.417910447761194,15.789473684210527,5.172413793103448,15.492957746478872,10.447761194029852,14.102564102564104,16.666666666666668,14.285714285714286,14.473684210526317,6.0,18.367346938775512,6.25,12.631578947368421,13.0,16.25,13.636363636363637,4.25531914893617,8.98876404494382,10.9375,17.647058823529413,20.0,12.962962962962964,11.320754716981131,15.476190476190476,6.521739130434782,9.0,13.953488372093023,17.333333333333332,9.0,18.333333333333336,19.0,14.583333333333334,19.672131147540984,10.344827586206897,9.574468085106382,9.63855421686747,8.51063829787234,11.666666666666668,12.727272727272727,19.642857142857142,11.267605633802816,4.761904761904762,16.161616161616163,15.853658536585366,11.267605633802816,8.064516129032258,10.526315789473683,14.0,12.048192771084338,12.162162162162161,11.827956989247312,12.5,11.688311688311689,17.5,9.30232558139535,14.925373134328359,7.246376811594203,8.695652173913043,6.410256410256411,11.363636363636365,16.049382716049383,11.11111111111111,10.9375,9.0,13.461538461538462,10.76923076923077,9.09090909090909,17.741935483870968,16.363636363636363,6.578947368421053,14.285714285714286,12.0,7.547169811320755,11.11111111111111,10.204081632653061,14.583333333333334,10.666666666666666,16.176470588235297,5.9523809523809526,12.0,16.27906976744186,16.176470588235297,14.516129032258064,11.538461538461538,13.131313131313131,28.846153846153847,22.916666666666668,15.0,15.277777777777777,12.307692307692308,10.0,10.0,8.98876404494382,10.0,15.09433962264151,10.909090909090908,9.09090909090909,12.76595744680851,11.578947368421051,5.319148936170213,21.62162162162162,6.382978723404255,4.477611940298508,19.298245614035086,14.285714285714285,18.0,14.102564102564104
Alaska,88.54166666666667,42.666666666666664,60.0,100.0,0.0,0.0,34.0,79.77528089887642,62.19512195121951,100.0,100.0,60.97560975609756,100.0,50.61728395061728,41.0,100.0,39.743589743589745,0.0,44.871794871794876,95.34883720930233,98.52941176470588,0.0,55.38461538461539,62.5,35.0,79.0,83.83838383838385,100.0,93.58974358974359,45.34883720930233,35.0,84.0,100.0,34.0,39.79591836734694,100.0,100.0,100.0,63.38028169014084,61.01694915254237,68.0,47.0,19.0,54.347826086956516,91.0,51.0,22.0,92.5,99.99999999999999,100.0,85.9375,90.0,100.0,59.0,95.0,71.7948717948718,31.313131313131315,56.0,29.310344827586206,80.0,100.0,100.0,100.0,96.15384615384616,86.58536585365853,100.0,100.00000000000001,36.507936507936506,67.85714285714286,51.0,78.7878787878788,67.1875,95.0,59.0,69.0721649484536,47.5609756097561,54.0,43.28358208955224,62.0,95.65217391304347,100.0,100.0,48.0,100.0,74.39024390243902,35.0,86.0,49.25373134328358,86.8421052631579,74.13793103448275,69.01408450704224,70.1492537313433,75.64102564102565,96.15384615384616,38.46153846153847,94.73684210526316,69.0,30.612244897959183,27.5,49.473684210526315,75.0,100.0,75.75757575757575,51.06382978723404,69.66292134831461,57.8125,27.94117647058824,41.42857142857143,100.0,41.509433962264154,65.47619047619048,54.347826086956516,35.0,53.48837209302326,100.0,70.0,41.66666666666667,34.0,72.91666666666667,63.9344262295082,33.33333333333333,89.36170212765957,60.24096385542169,67.02127659574468,81.66666666666667,49.090909090909086,37.5,95.77464788732394,53.57142857142857,0.0,84.14634146341463,66.19718309859155,46.774193548387096,36.84210526315789,58.0,54.216867469879524,93.24324324324324,26.881720430107524,37.5,57.14285714285714,43.75,100.0,100.0,73.91304347826087,88.40579710144928,100.00000000000001,76.13636363636364,51.85185185185185,86.66666666666667,78.125,28.0,86.53846153846155,55.38461538461539,100.0,51.61290322580645,89.0909090909091,53.94736842105264,37.142857142857146,40.0,75.47169811320755,42.22222222222222,30.612244897959183,50.0,100.0,82.3529411764706,38.095238095238095,34.0,60.46511627906977,47.05882352941177,100.0,51.92307692307693,66.66666666666667,94.23076923076923,36.458333333333336,90.0,33.33333333333333,73.84615384615385,41.0,33.0,49.438202247191015,77.14285714285714,41.509433962264154,21.818181818181817,66.66666666666667,61.702127659574465,42.10526315789473,82.97872340425532,33.78378378378378,53.191489361702125,49.25373134328358,77.19298245614034,42.857142857142854,48.0,37.17948717948718
Arizona,33.333333333333336,33.33333333333333,19.0,34.0,59.0,21.0,25.0,35.95505617977528,34.146341463414636,14.0,22.22222222222222,21.95121951219512,23.0,24.691358024691358,36.0,24.0,20.512820512820515,46.0,64.1025641025641,81.39534883720931,64.70588235294119,61.42857142857143,55.38461538461539,44.642857142857146,23.0,50.0,38.38383838383839,33.80281690140845,37.17948717948718,38.372093023255815,29.0,21.0,18.0,22.0,22.448979591836736,44.776119402985074,52.7027027027027,31.460674157303373,56.33802816901408,61.01694915254237,22.0,20.0,6.0,21.73913043478261,40.0,26.0,13.0,40.0,27.83505154639175,12.0,23.4375,45.0,42.0,28.0,46.25,50.00000000000001,29.292929292929294,51.0,39.6551724137931,51.0,39.53488372093023,47.0,54.0,44.23076923076923,60.97560975609756,45.0,30.769230769230774,28.57142857142857,46.42857142857143,20.0,40.40404040404041,62.5,46.0,32.0,24.74226804123711,36.58536585365854,29.0,32.83582089552239,43.0,45.65217391304348,32.0,29.761904761904763,29.0,26.0,32.926829268292686,41.0,44.0,20.895522388059703,34.21052631578948,31.034482758620687,36.61971830985915,26.865671641791046,28.205128205128208,32.05128205128205,28.571428571428573,36.8421052631579,27.0,39.79591836734694,28.75,26.31578947368421,30.0,33.75,34.84848484848485,21.27659574468085,24.719101123595507,25.0,17.647058823529413,40.0,33.333333333333336,37.735849056603776,23.80952380952381,27.173913043478258,20.0,29.069767441860467,29.333333333333332,20.0,18.333333333333336,20.0,31.250000000000004,24.59016393442623,21.839080459770113,25.53191489361702,18.072289156626507,24.46808510638298,28.333333333333336,25.454545454545453,17.857142857142858,28.16901408450704,25.0,29.292929292929294,24.390243902439025,26.76056338028169,22.58064516129032,28.07017543859649,40.0,22.89156626506024,24.324324324324323,20.43010752688172,42.1875,24.675324675324674,36.25,22.093023255813954,23.880597014925375,20.28985507246377,28.985507246376812,19.230769230769234,22.72727272727273,33.33333333333333,46.66666666666667,29.6875,19.0,23.076923076923077,20.0,21.818181818181817,30.64516129032258,38.18181818181818,44.736842105263165,25.714285714285715,38.0,30.18867924528302,24.444444444444446,26.53061224489796,37.5,32.0,33.82352941176471,34.523809523809526,22.0,29.069767441860467,30.88235294117647,22.58064516129032,32.69230769230769,23.232323232323235,32.69230769230769,29.166666666666668,35.0,29.166666666666664,40.0,29.0,19.0,21.348314606741575,41.42857142857143,33.9622641509434,25.454545454545453,34.84848484848485,44.680851063829785,26.31578947368421,30.851063829787233,25.675675675675674,31.914893617021278,26.865671641791046,22.807017543859647,33.333333333333336,20.0,30.769230769230774
Arkansas,15.625000000000002,10.666666666666666,9.0,24.0,41.0,9.0,13.0,10.112359550561798,21.95121951219512,20.0,12.345679012345679,9.75609756097561,20.0,12.345679012345679,23.0,15.0,19.230769230769234,40.0,0.0,0.0,0.0,34.285714285714285,20.0,0.0,8.0,19.0,21.212121212121215,8.450704225352112,7.692307692307693,10.465116279069768,8.0,0.0,10.0,24.0,14.285714285714286,11.940298507462687,12.162162162162161,0.0,29.577464788732392,13.559322033898304,21.0,10.0,8.0,18.478260869565215,21.0,12.0,5.0,27.5,6.185567010309278,7.0,7.8125,16.0,8.0,32.0,42.5,43.58974358974359,20.202020202020204,12.0,25.86206896551724,38.0,15.116279069767442,16.0,20.0,13.461538461538462,24.390243902439025,8.0,16.666666666666668,23.809523809523807,10.714285714285715,14.0,28.282828282828284,23.4375,28.0,9.0,10.309278350515463,10.97560975609756,6.0,19.402985074626866,17.0,20.652173913043477,7.0,15.476190476190476,15.0,19.0,19.51219512195122,23.0,11.0,25.373134328358212,31.578947368421055,13.793103448275861,26.76056338028169,14.925373134328359,24.35897435897436,29.48717948717949,12.08791208791209,11.842105263157896,19.0,16.3265306122449,8.75,20.0,19.0,13.75,7.575757575757576,10.638297872340425,15.730337078651687,15.625,14.705882352941178,22.857142857142858,11.11111111111111,15.09433962264151,7.142857142857142,6.521739130434782,21.0,19.767441860465116,16.0,0.0,30.0,16.0,16.666666666666668,18.0327868852459,22.988505747126435,8.51063829787234,14.457831325301207,15.957446808510639,15.0,16.363636363636363,14.285714285714286,12.676056338028168,5.9523809523809526,13.131313131313131,15.853658536585366,12.676056338028168,12.903225806451612,17.543859649122805,18.0,19.27710843373494,17.56756756756757,12.903225806451612,12.5,12.987012987012987,13.75,16.27906976744186,13.432835820895523,13.043478260869565,17.391304347826086,11.53846153846154,9.090909090909092,9.876543209876543,15.555555555555557,21.875,13.0,19.23076923076923,7.6923076923076925,10.909090909090908,8.064516129032258,18.18181818181818,19.736842105263158,12.857142857142858,14.0,18.867924528301888,8.88888888888889,16.3265306122449,22.916666666666668,18.666666666666664,17.647058823529413,15.476190476190476,14.0,9.30232558139535,30.88235294117647,12.903225806451612,17.307692307692307,15.151515151515152,25.0,0.0,13.0,12.5,21.53846153846154,12.0,10.0,15.730337078651687,30.0,15.09433962264151,20.0,15.151515151515152,27.659574468085104,23.157894736842103,12.76595744680851,6.756756756756756,14.893617021276595,10.447761194029852,17.543859649122805,19.047619047619047,10.0,7.692307692307693
California,27.083333333333336,21.333333333333332,16.0,20.0,26.0,17.0,20.0,30.337078651685395,29.268292682926827,21.0,23.456790123456788,21.95121951219512,25.0,23.456790123456788,26.0,19.0,16.666666666666668,25.0,30.769230769230774,39.53488372093023,35.294117647058826,40.0,40.0,30.357142857142858,18.0,34.0,26.262626262626263,23.943661971830984,21.794871794871796,33.72093023255814,21.0,23.0,13.0,24.0,27.551020408163264,31.343283582089555,36.486486486486484,25.842696629213485,30.985915492957744,42.3728813559322,24.0,10.0,7.0,18.478260869565215,47.0,15.0,13.0,20.0,19.58762886597938,12.0,26.5625,28.0,16.0,18.0,27.5,30.769230769230774,27.272727272727273,21.0,17.241379310344826,20.0,24.41860465116279,21.0,26.0,42.30769230769231,41.46341463414634,26.0,20.512820512820515,25.396825396825395,32.142857142857146,20.0,29.292929292929294,34.375,25.0,20.0,29.896907216494842,23.170731707317074,21.0,29.850746268656717,36.0,43.47826086956522,31.0,38.095238095238095,31.0,29.0,31.70731707317073,33.0,36.0,29.850746268656717,28.947368421052634,32.75862068965517,32.394366197183096,34.32835820895522,32.05128205128205,32.05128205128205,18.681318681318682,32.89473684210527,27.0,28.571428571428573,22.5,34.73684210526316,32.0,26.25,25.757575757575758,31.914893617021278,22.471910112359552,32.8125,23.529411764705884,31.42857142857143,25.925925925925927,28.30188679245283,25.0,20.652173913043477,16.0,29.069767441860467,29.333333333333332,20.0,28.333333333333336,27.0,27.083333333333336,26.229508196721312,24.137931034482758,21.27659574468085,19.27710843373494,21.27659574468085,30.0,29.09090909090909,25.0,30.985915492957744,22.61904761904762,28.282828282828284,25.609756097560975,25.352112676056336,20.96774193548387,26.31578947368421,30.0,25.30120481927711,25.675675675675674,19.354838709677416,32.8125,25.974025974025974,32.5,22.093023255813954,23.880597014925375,20.28985507246377,27.536231884057973,23.07692307692308,22.72727272727273,27.160493827160494,37.77777777777778,28.125,15.0,21.153846153846153,23.076923076923077,20.0,22.58064516129032,27.272727272727273,27.631578947368425,18.571428571428573,26.0,24.528301886792452,24.444444444444446,24.48979591836735,37.5,30.666666666666664,29.411764705882355,25.0,26.0,29.069767441860467,29.411764705882355,22.58064516129032,30.76923076923077,29.292929292929294,28.846153846153847,23.958333333333336,23.0,22.22222222222222,29.230769230769234,24.0,20.0,16.853932584269664,24.285714285714285,26.41509433962264,25.454545454545453,33.333333333333336,38.29787234042553,28.421052631578945,31.914893617021278,27.027027027027025,23.404255319148938,29.850746268656717,28.07017543859649,33.333333333333336,32.0,23.07692307692308
Colorado,72.91666666666667,33.33333333333333,42.0,53.0,62.0,41.0,30.0,57.30337078651686,64.6341463414634,44.0,82.71604938271605,39.02439024390244,40.0,46.913580246913575,39.0,33.0,21.794871794871796,63.0,51.282051282051285,51.162790697674424,70.58823529411765,70.0,69.23076923076924,66.07142857142857,39.0,54.0,53.535353535353536,47.88732394366197,55.12820512820513,62.79069767441861,36.0,45.0,25.0,35.0,52.04081632653061,53.73134328358209,60.81081081081081,70.7865168539326,63.38028169014084,61.01694915254237,43.0,19.0,17.0,25.0,68.0,24.0,19.0,76.25,42.268041237113394,31.0,54.6875,58.0,29.0,56.0,88.75,97.43589743589745,58.58585858585859,39.0,32.75862068965517,40.0,65.11627906976744,40.0,75.0,98.07692307692308,69.51219512195122,43.0,55.12820512820513,90.47619047619047,100.0,63.0,93.93939393939395,90.625,77.0,92.0,92.78350515463916,92.6829268292683,86.0,98.50746268656717,87.0,100.0,84.0,79.76190476190476,98.0,84.0,84.14634146341463,92.0,100.0,100.0,86.8421052631579,100.0,100.0,83.58208955223881,70.51282051282053,65.38461538461539,60.439560439560445,100.0,100.0,100.0,67.5,87.36842105263158,76.0,88.75,100.0,78.72340425531915,71.91011235955057,100.0,79.41176470588236,97.14285714285714,88.88888888888889,100.0,91.66666666666667,82.6086956521739,65.0,100.0,100.0,70.0,100.0,90.0,93.75,96.72131147540983,79.3103448275862,81.91489361702128,66.26506024096386,79.7872340425532,83.33333333333334,85.45454545454545,100.0,100.0,77.38095238095238,76.76767676767678,80.48780487804878,98.59154929577464,100.0,89.47368421052632,100.0,77.10843373493977,89.1891891891892,63.44086021505376,100.0,71.42857142857143,100.0,53.48837209302326,67.16417910447761,60.869565217391305,97.10144927536231,83.33333333333334,69.31818181818183,82.71604938271605,100.0,100.0,60.0,96.15384615384616,92.3076923076923,74.54545454545455,100.0,96.36363636363636,88.15789473684211,52.85714285714286,78.0,81.13207547169812,71.11111111111111,81.63265306122449,95.83333333333334,100.0,100.0,100.0,94.0,94.18604651162791,100.0,90.32258064516128,100.0,84.84848484848486,82.6923076923077,65.625,90.0,69.44444444444444,87.6923076923077,80.0,57.0,60.67415730337079,100.0,100.0,100.0,90.9090909090909,87.23404255319149,100.0,91.48936170212765,100.0,100.0,100.0,87.71929824561403,83.33333333333333,94.0,100.00000000000001
Connecticut,54.16666666666667,50.666666666666664,26.0,29.0,47.0,50.0,57.0,60.67415730337079,56.09756097560975,28.0,50.61728395061728,34.146341463414636,46.0,53.08641975308642,62.0,51.0,29.48717948717949,51.0,53.846153846153854,100.0,76.47058823529412,100.0,76.92307692307693,57.142857142857146,24.0,60.0,89.89898989898991,60.56338028169014,60.25641025641026,86.04651162790698,28.0,39.0,22.0,68.0,73.46938775510205,80.59701492537314,70.27027027027027,62.921348314606746,49.29577464788732,57.62711864406779,73.0,24.0,11.0,40.21739130434782,75.0,24.0,27.0,80.0,45.360824742268036,26.0,75.0,51.0,36.0,40.0,53.75,64.1025641025641,49.494949494949495,49.0,37.93103448275862,58.0,44.18604651162791,89.0,73.0,100.0,95.1219512195122,33.0,39.743589743589745,49.2063492063492,67.85714285714286,50.0,66.66666666666667,100.0,72.0,54.0,88.65979381443299,57.3170731707317,45.0,67.16417910447761,100.0,79.34782608695652,55.0,65.47619047619048,67.0,61.0,87.80487804878048,88.0,84.0,83.58208955223881,86.8421052631579,60.34482758620689,67.6056338028169,97.01492537313433,51.282051282051285,75.64102564102565,48.35164835164836,82.89473684210527,92.0,85.71428571428572,75.0,64.21052631578947,74.0,62.5,69.6969696969697,100.0,85.3932584269663,84.375,69.11764705882354,97.14285714285714,77.77777777777777,100.0,80.95238095238095,71.73913043478261,58.0,82.55813953488372,70.66666666666666,69.0,55.0,64.0,100.0,60.65573770491803,56.32183908045977,48.93617021276596,42.168674698795186,57.4468085106383,56.66666666666667,74.54545454545455,85.71428571428572,71.83098591549296,52.38095238095238,61.61616161616162,54.8780487804878,76.05633802816901,61.29032258064516,82.45614035087719,80.0,55.42168674698796,62.16216216216216,24.731182795698924,67.1875,63.63636363636363,83.75,43.02325581395349,62.68656716417911,46.3768115942029,65.21739130434783,60.25641025641026,62.50000000000001,96.29629629629629,95.55555555555556,60.9375,53.0,67.3076923076923,78.46153846153847,67.27272727272727,90.32258064516128,78.18181818181817,88.15789473684211,50.0,70.0,88.67924528301887,100.0,100.0,100.0,93.33333333333333,79.41176470588236,77.38095238095238,74.0,84.88372093023256,89.70588235294119,70.96774193548387,71.15384615384616,68.68686868686869,100.0,39.583333333333336,78.0,87.5,100.0,47.0,58.0,46.06741573033708,91.42857142857143,64.15094339622641,74.54545454545455,89.39393939393939,100.0,68.42105263157895,96.80851063829788,81.08108108108108,82.97872340425532,94.02985074626866,75.43859649122807,73.80952380952381,100.0,60.25641025641026
Delaware,91.66666666666667,62.666666666666664,100.0,43.0,100.0,100.0,61.0,48.31460674157304,100.0,35.0,60.49382716049382,60.97560975609756,50.0,100.0,81.0,52.0,48.71794871794872,100.0,41.02564102564103,76.74418604651163,72.05882352941177,81.42857142857143,96.92307692307693,76.78571428571429,83.0,63.0,63.63636363636364,50.70422535211267,26.923076923076927,63.95348837209303,60.0,100.0,42.0,67.0,58.16326530612245,47.76119402985075,28.37837837837838,28.08988764044944,54.92957746478873,91.52542372881355,26.0,24.0,16.0,38.04347826086956,100.0,28.0,31.0,52.5,50.515463917525764,19.0,89.0625,74.0,38.0,22.0,78.75,41.02564102564103,53.535353535353536,37.0,37.93103448275862,56.0,33.72093023255814,19.0,63.0,71.15384615384616,64.6341463414634,30.0,30.769230769230774,100.0,75.0,0.0,82.82828282828284,92.1875,64.0,76.0,99.99999999999999,100.0,42.0,86.56716417910448,92.0,59.78260869565217,52.0,26.19047619047619,50.0,44.0,57.3170731707317,53.0,94.0,43.28358208955224,84.21052631578948,24.137931034482758,59.154929577464785,100.0,100.00000000000001,69.23076923076924,32.96703296703297,78.94736842105263,63.0,81.63265306122449,67.5,100.0,100.0,80.0,86.36363636363636,27.659574468085104,55.0561797752809,35.9375,83.82352941176471,31.42857142857143,44.44444444444444,56.60377358490566,64.28571428571429,57.60869565217391,33.0,30.232558139534884,65.33333333333333,39.0,70.0,38.0,39.583333333333336,55.73770491803279,65.51724137931033,31.914893617021278,84.33734939759037,69.14893617021276,55.0,100.0,41.07142857142858,56.33802816901408,36.904761904761905,100.0,75.60975609756098,100.0,41.93548387096774,64.91228070175438,58.0,55.42168674698796,35.13513513513514,44.086021505376344,85.9375,100.0,81.25,43.02325581395349,46.268656716417915,59.42028985507246,100.0,52.56410256410257,72.72727272727273,92.59259259259258,75.55555555555556,65.625,37.0,63.46153846153846,100.0,54.54545454545455,53.2258064516129,100.0,63.15789473684211,62.85714285714286,62.0,100.0,62.22222222222223,53.06122448979592,85.41666666666667,77.33333333333333,50.0,83.33333333333333,78.0,95.34883720930233,70.58823529411765,48.387096774193544,50.0,100.0,26.923076923076923,100.0,97.0,72.22222222222221,46.15384615384615,100.0,44.0,20.224719101123597,95.71428571428572,83.01886792452831,43.63636363636363,80.3030303030303,89.36170212765957,58.94736842105263,69.14893617021276,47.2972972972973,61.702127659574465,79.1044776119403,100.0,100.0,88.0,69.23076923076924
District of Columbia,52.083333333333336,68.0,56.0,26.0,30.0,20.0,0.0,37.07865168539326,56.09756097560975,36.0,0.0,70.73170731707317,72.0,19.753086419753085,40.0,16.0,50.00000000000001,24.0,79.48717948717949,0.0,0.0,58.57142857142857,72.3076923076923,58.92857142857143,41.0,47.0,77.77777777777779,50.70422535211267,19.230769230769234,29.069767441860467,21.0,0.0,0.0,20.0,34.69387755102041,20.895522388059703,31.08108108108108,58.426966292134836,0.0,0.0,0.0,8.0,7.0,14.130434782608695,35.0,28.0,12.0,26.25,0.0,8.0,42.1875,26.0,37.0,55.0,77.5,41.02564102564103,19.191919191919194,34.0,15.517241379310343,23.0,23.255813953488374,19.0,56.0,69.23076923076923,32.926829268292686,44.0,0.0,39.682539682539684,25.0,27.0,27.272727272727273,21.875,46.0,22.0,38.14432989690721,51.21951219512195,14.0,0.0,28.0,21.73913043478261,36.0,35.714285714285715,25.0,38.0,21.95121951219512,21.0,18.0,26.865671641791046,18.42105263157895,15.517241379310343,23.943661971830984,20.895522388059703,14.102564102564104,28.205128205128208,37.362637362637365,31.578947368421055,62.0,38.775510204081634,21.25,15.789473684210526,22.0,25.0,27.272727272727273,40.42553191489362,13.483146067415731,54.6875,0.0,72.85714285714286,18.51851851851852,94.33962264150944,17.857142857142858,45.65217391304348,33.0,17.44186046511628,48.0,39.0,0.0,54.0,29.166666666666668,31.147540983606557,14.942528735632184,14.893617021276595,24.096385542168676,22.340425531914892,18.333333333333336,56.36363636363636,16.071428571428573,42.25352112676056,15.476190476190476,29.292929292929294,18.29268292682927,46.478873239436616,25.806451612903224,29.82456140350877,38.0,32.53012048192771,41.89189189189189,21.50537634408602,20.3125,24.675324675324674,27.5,12.790697674418606,25.373134328358212,17.391304347826086,39.130434782608695,46.15384615384616,22.72727272727273,37.03703703703704,40.0,37.5,31.0,53.84615384615385,44.61538461538462,41.81818181818182,59.677419354838705,41.81818181818182,27.631578947368425,27.142857142857142,46.0,47.16981132075472,40.0,16.3265306122449,18.75,58.666666666666664,30.88235294117647,77.38095238095238,28.0,93.0232558139535,27.94117647058824,33.87096774193548,76.92307692307692,49.494949494949495,25.0,29.166666666666668,33.0,19.444444444444443,26.153846153846157,30.0,17.0,13.483146067415731,21.42857142857143,37.735849056603776,47.27272727272727,51.515151515151516,23.404255319148938,47.368421052631575,69.14893617021276,18.91891891891892,29.78723404255319,14.925373134328359,31.57894736842105,0.0,36.0,57.6923076923077
Florida,18.75,21.333333333333332,13.0,23.0,21.0,13.0,14.0,21.348314606741575,15.853658536585366,14.0,19.753086419753085,17.073170731707318,10.0,16.049382716049383,13.0,12.0,8.974358974358974,16.0,14.102564102564104,20.930232558139537,14.705882352941178,17.142857142857142,15.384615384615385,12.5,12.0,15.0,20.202020202020204,18.309859154929576,20.512820512820515,19.767441860465116,12.0,11.0,5.0,12.0,19.387755102040817,14.925373134328359,27.027027027027025,16.853932584269664,23.943661971830984,15.254237288135592,15.0,5.0,5.0,11.956521739130434,23.0,12.0,8.0,17.5,10.309278350515463,7.0,15.625,16.0,13.0,21.0,16.25,23.07692307692308,12.121212121212121,15.0,13.793103448275861,17.0,20.930232558139537,17.0,21.0,26.923076923076923,24.390243902439025,18.0,17.94871794871795,22.22222222222222,23.214285714285715,17.0,23.232323232323235,23.4375,15.0,19.0,27.83505154639175,15.853658536585366,15.0,23.880597014925375,23.0,22.82608695652174,20.0,25.0,19.0,18.0,24.390243902439025,23.0,20.0,16.417910447761194,21.05263157894737,12.068965517241379,21.12676056338028,23.880597014925375,17.94871794871795,19.230769230769234,10.989010989010989,19.736842105263158,19.0,19.387755102040817,12.5,13.68421052631579,17.0,17.5,15.151515151515152,14.893617021276595,10.112359550561798,15.625,13.23529411764706,11.428571428571429,9.25925925925926,18.867924528301888,15.476190476190476,11.956521739130434,8.0,11.627906976744187,17.333333333333332,7.0,15.0,12.0,18.75,16.393442622950822,12.643678160919539,9.574468085106382,8.433734939759036,11.702127659574469,15.0,16.363636363636363,14.285714285714286,16.901408450704224,11.904761904761905,12.121212121212121,12.195121951219512,19.718309859154928,11.29032258064516,14.035087719298245,16.0,13.253012048192772,9.45945945945946,8.602150537634408,20.3125,20.77922077922078,18.75,11.627906976744187,11.940298507462687,11.594202898550725,15.942028985507246,11.53846153846154,9.090909090909092,13.580246913580247,17.77777777777778,15.625,10.0,13.461538461538462,12.307692307692308,14.545454545454545,19.354838709677416,20.0,15.789473684210527,8.571428571428571,14.0,11.320754716981131,15.555555555555557,14.285714285714286,18.75,14.666666666666666,16.176470588235297,22.61904761904762,20.0,19.767441860465116,19.11764705882353,14.516129032258064,17.307692307692307,17.171717171717173,19.23076923076923,15.625000000000002,18.0,15.277777777777777,20.0,12.0,13.0,14.606741573033709,21.42857142857143,20.754716981132077,18.18181818181818,19.696969696969695,23.404255319148938,25.263157894736842,24.46808510638298,18.91891891891892,17.02127659574468,14.925373134328359,19.298245614035086,30.952380952380953,24.0,16.666666666666668
