State,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29
Alabama,74.74747474747475,83.87096774193547,68.0,63.0,67.0,76.0,89.13043478260869,83.0,88.0,68.0,88.04347826086956,100.0,81.60919540229885,91.56626506024097,87.05882352941177,93.10344827586206,97.46835443037975,85.88235294117648,79.7872340425532,78.20512820512822,60.204081632653065,71.0,72.94117647058823,75.0,67.36842105263158,70.0,77.21518987341773,100.0,75.0,77.0,80.0,94.73684210526315,76.0,78.0,76.0,60.0,77.89473684210526,79.0,78.0,62.0,77.0,89.13043478260869,66.0,76.04166666666667,57.0,88.88888888888889,85.5421686746988,75.25773195876288,67.0,68.36734693877551,64.47368421052632,70.10309278350515,77.0,58.0,100.0,100.0,82.0,74.0,69.89247311827957,67.0,64.0,75.0,97.0,73.11827956989247,78.72340425531915,87.35632183908045,82.0,86.0,76.0,64.0,87.0,78.0,64.19753086419753,84.0,100.0,74.68354430379748,64.0,63.0,56.0,61.0,82.0,61.0,66.66666666666666,81.60919540229885,65.0,75.0,93.61702127659575,79.45205479452055,77.0,70.27027027027027,96.875,67.0,82.0,83.0,61.0,58.0,66.0,76.0,74.0,89.0,80.51948051948052,69.0,55.0,77.38095238095238,58.426966292134836,62.0,79.0,65.0,57.0,69.0,77.63157894736842,69.47368421052632,58.0,68.42105263157895,100.0,75.0,49.0,86.0,100.0,70.83333333333334,62.76595744680851,84.0,85.85858585858587,59.523809523809526,74.66666666666666,80.0,52.0,73.0,76.74418604651163,54.83870967741935,61.0,66.66666666666667,62.0,69.44444444444444,60.317460317460316,70.49180327868852,77.0,100.0,75.29411764705883,72.16494845360825,61.29032258064516,56.60377358490566,61.0,48.0,54.0,40.0,60.0,66.0,70.0,59.375,78.26086956521739,91.66666666666667,78.82352941176471,64.0,76.5625,82.3529411764706,66.0,62.0,56.0,59.0,71.0,63.63636363636364,83.14606741573034,78.0,32.0,66.0,71.0,66.26506024096386,82.0,63.44086021505376,54.166666666666664,50.0,38.0,66.0,42.857142857142854,41.0,67.0,65.65656565656566,61.1764705882353,67.0,100.0,65.0,60.824742268041234,66.0,72.72727272727272,53.0,40.20618556701031,69.31818181818183,77.77777777777779,53.125,55.714285714285715,59.0,62.35294117647059,61.702127659574465
Alaska,41.41414141414142,39.784946236559136,75.0,60.0,22.0,23.0,47.826086956521735,40.0,52.0,54.0,64.13043478260869,35.78947368421053,40.229885057471265,19.27710843373494,42.35294117647059,70.11494252873563,56.9620253164557,43.529411764705884,18.085106382978722,53.846153846153854,21.42857142857143,35.0,61.1764705882353,15.0,28.421052631578945,23.0,36.708860759493675,45.0,38.04347826086956,66.0,83.0,52.63157894736842,42.0,26.0,56.0,53.0,52.63157894736842,31.0,63.0,50.0,41.0,47.826086956521735,42.0,39.583333333333336,41.0,34.44444444444444,38.55421686746988,27.83505154639175,47.0,60.204081632653065,46.05263157894737,32.98969072164948,18.0,49.0,100.0,21.0,20.0,53.0,50.537634408602145,28.0,48.0,42.0,21.0,30.10752688172043,56.38297872340426,39.08045977011494,53.0,99.0,43.0,41.0,44.0,39.0,44.44444444444444,44.0,24.0,63.29113924050633,39.0,56.0,29.0,67.0,59.0,23.0,30.864197530864196,35.632183908045974,62.0,75.0,84.04255319148936,52.054794520547944,47.0,83.78378378378378,36.458333333333336,30.0,31.0,34.0,31.0,35.0,79.0,99.0,64.0,47.0,58.44155844155844,52.0,19.0,98.80952380952381,100.0,45.0,100.0,82.0,21.0,20.0,60.526315789473685,72.63157894736841,56.0,100.0,67.81609195402298,63.15789473684211,14.0,58.0,45.283018867924525,33.333333333333336,32.97872340425532,67.0,56.56565656565657,100.0,46.666666666666664,66.15384615384616,16.0,20.0,32.55813953488372,30.10752688172043,23.0,22.22222222222222,15.0,63.888888888888886,66.66666666666666,29.508196721311478,48.0,50.0,51.76470588235294,74.22680412371133,46.774193548387096,45.283018867924525,39.0,34.0,20.0,52.0,55.0,44.0,50.0,42.1875,63.768115942028984,76.19047619047619,72.94117647058823,63.0,100.0,58.82352941176471,30.0,26.0,50.0,70.0,66.0,21.212121212121215,40.449438202247194,85.0,63.0,48.0,83.0,49.397590361445786,75.0,38.70967741935483,33.33333333333333,23.0,67.0,30.0,100.0,46.0,76.0,65.65656565656566,63.529411764705884,28.0,78.0,46.0,25.773195876288657,28.0,80.0,100.0,17.525773195876287,62.50000000000001,92.22222222222223,54.6875,34.285714285714285,45.0,100.0,60.638297872340424
Arizona,79.7979797979798,82.79569892473118,74.0,59.0,72.0,65.0,76.08695652173913,66.0,75.0,59.0,77.17391304347825,78.94736842105263,56.32183908045977,61.445783132530124,56.470588235294116,68.9655172413793,62.025316455696206,62.35294117647059,54.25531914893617,65.38461538461539,57.142857142857146,66.0,71.76470588235294,62.0,80.0,52.0,63.29113924050633,63.0,71.73913043478261,72.0,74.0,63.1578947368421,58.0,79.0,63.0,61.0,65.26315789473684,57.0,61.0,67.0,55.0,61.95652173913043,50.0,57.29166666666667,52.0,50.0,71.0843373493976,52.577319587628864,55.0,48.9795918367347,69.73684210526316,62.88659793814432,60.0,53.0,55.91397849462365,68.0,48.0,51.0,53.76344086021505,58.0,57.0,72.0,61.0,68.81720430107526,65.95744680851064,70.11494252873563,49.0,68.0,73.0,56.0,53.0,58.0,55.55555555555555,66.0,70.0,56.9620253164557,59.0,57.0,51.0,50.0,61.0,51.0,55.55555555555555,50.574712643678154,46.0,60.0,74.46808510638297,61.64383561643835,55.0,78.37837837837837,57.29166666666667,53.0,57.0,61.0,46.0,48.0,47.0,58.0,51.0,60.0,54.54545454545455,51.0,61.0,67.85714285714286,59.55056179775281,54.0,52.0,57.0,55.0,50.0,61.8421052631579,75.78947368421052,47.0,57.89473684210526,55.172413793103445,69.73684210526316,41.0,54.0,69.81132075471699,62.50000000000001,64.8936170212766,55.0,62.62626262626263,53.57142857142857,68.0,63.07692307692308,48.0,52.0,68.6046511627907,44.086021505376344,67.0,44.44444444444444,40.0,68.05555555555556,53.96825396825397,52.459016393442624,39.0,44.0,56.470588235294116,36.08247422680412,50.0,54.716981132075475,49.0,42.0,49.0,38.0,47.0,54.0,52.22222222222222,39.0625,39.130434782608695,46.42857142857143,43.529411764705884,40.0,65.625,65.88235294117648,54.0,60.0,53.0,43.0,43.0,58.58585858585859,71.91011235955057,59.0,38.0,47.0,57.0,48.19277108433735,47.0,40.86021505376344,62.5,53.0,39.0,56.0,44.047619047619044,51.0,63.0,60.60606060606061,61.1764705882353,67.0,58.0,47.0,53.60824742268041,72.0,63.63636363636363,40.0,36.08247422680412,65.90909090909092,54.44444444444445,71.875,48.57142857142857,38.0,52.94117647058824,52.12765957446808
Arkansas,81.81818181818183,95.69892473118279,100.0,80.0,84.0,100.0,100.0,72.0,85.0,89.0,88.04347826086956,86.3157894736842,82.75862068965517,98.79518072289157,100.0,100.0,100.0,87.05882352941177,100.0,92.30769230769232,92.85714285714286,66.0,74.11764705882354,61.0,85.26315789473684,87.0,100.0,86.0,71.73913043478261,61.0,90.0,97.89473684210526,100.0,88.0,78.0,64.0,82.10526315789473,93.0,80.0,67.0,99.0,100.0,85.0,86.45833333333334,77.0,73.33333333333334,72.28915662650603,99.99999999999999,100.0,65.3061224489796,88.15789473684211,74.22680412371133,69.0,69.0,97.84946236559139,91.0,64.0,67.0,100.0,81.0,87.0,100.0,88.0,82.79569892473118,69.14893617021276,82.75862068965517,76.0,100.0,68.0,90.0,83.0,70.0,66.66666666666666,67.0,63.0,63.29113924050633,90.0,84.0,86.0,57.0,95.0,71.0,100.0,100.0,73.0,80.0,100.0,87.67123287671232,60.0,97.29729729729729,100.0,85.0,59.0,65.0,69.0,80.0,73.0,86.0,69.0,75.0,92.20779220779221,74.0,90.0,79.76190476190476,73.03370786516854,63.0,86.0,61.0,69.0,64.0,72.36842105263159,94.73684210526315,61.0,49.473684210526315,56.32183908045977,59.21052631578948,53.0,94.0,83.01886792452831,73.95833333333334,75.53191489361701,91.0,62.62626262626263,80.95238095238095,100.0,55.38461538461539,81.0,80.0,75.58139534883722,73.11827956989247,53.0,71.11111111111111,100.0,98.61111111111111,76.19047619047619,62.295081967213115,78.0,90.0,100.0,99.99999999999999,77.41935483870967,71.69811320754717,33.0,34.0,69.0,100.0,76.0,82.0,80.0,78.125,62.31884057971015,66.66666666666667,75.29411764705883,100.0,65.625,54.11764705882353,52.0,60.0,62.0,72.0,88.0,66.66666666666667,82.02247191011236,65.0,41.0,54.0,100.0,75.90361445783134,68.0,51.61290322580645,70.83333333333333,70.0,56.0,70.0,64.28571428571429,34.0,73.0,94.94949494949496,84.70588235294117,79.0,86.0,81.0,86.59793814432989,74.0,76.36363636363636,53.0,36.08247422680412,69.31818181818183,77.77777777777779,57.8125,47.142857142857146,73.0,56.470588235294116,64.8936170212766
California,72.72727272727273,73.11827956989247,67.0,59.0,62.0,67.0,68.47826086956522,60.0,74.0,62.0,70.65217391304347,62.10526315789473,56.32183908045977,59.036144578313255,49.411764705882355,60.91954022988505,60.75949367088608,69.41176470588236,61.702127659574465,71.7948717948718,63.26530612244898,61.0,62.35294117647059,54.0,65.26315789473684,52.0,54.43037974683545,53.0,53.26086956521739,53.0,61.0,68.42105263157895,57.0,49.0,54.0,47.0,52.63157894736842,43.0,41.0,48.0,51.0,61.95652173913043,40.0,53.12500000000001,44.0,52.22222222222222,60.24096385542169,48.45360824742268,48.0,48.9795918367347,55.26315789473685,45.360824742268036,45.0,40.0,46.236559139784944,52.0,47.0,45.0,40.86021505376344,46.0,49.0,50.0,54.0,50.537634408602145,44.680851063829785,44.82758620689655,47.0,52.0,48.0,42.0,41.0,38.0,40.74074074074074,55.0,64.0,40.50632911392405,41.0,43.0,43.0,39.0,48.0,45.0,51.85185185185185,40.229885057471265,39.0,49.0,56.38297872340426,54.794520547945204,48.0,56.75675675675676,43.75,45.0,47.0,51.0,45.0,44.0,37.0,48.0,46.0,55.0,57.14285714285714,49.0,43.0,46.42857142857143,38.20224719101124,56.0,61.0,51.0,49.0,42.0,42.10526315789474,43.1578947368421,44.0,47.368421052631575,52.8735632183908,53.94736842105264,29.0,44.0,47.16981132075472,40.625,52.12765957446808,51.0,49.494949494949495,44.047619047619044,46.666666666666664,43.07692307692308,41.0,51.0,54.651162790697676,40.86021505376344,46.0,36.66666666666667,33.0,51.388888888888886,42.857142857142854,54.09836065573771,54.0,51.0,47.05882352941177,36.08247422680412,46.774193548387096,41.509433962264154,43.0,37.0,43.0,32.0,44.0,38.0,42.22222222222222,42.1875,49.27536231884058,44.047619047619044,43.529411764705884,35.0,48.4375,47.05882352941177,38.0,49.0,42.0,37.0,35.0,45.45454545454546,51.68539325842697,50.0,30.0,43.0,41.0,42.168674698795186,44.0,43.01075268817204,50.0,47.0,39.0,41.0,33.333333333333336,44.0,53.0,49.494949494949495,48.23529411764706,48.0,44.0,41.0,48.45360824742268,54.0,49.090909090909086,38.0,30.92783505154639,44.31818181818182,41.111111111111114,46.875,38.57142857142857,41.0,57.64705882352941,45.744680851063826
Colorado,68.68686868686869,66.66666666666666,72.0,68.0,68.0,65.0,61.95652173913043,61.0,59.0,48.0,50.0,49.473684210526315,36.7816091954023,57.83132530120483,43.529411764705884,54.02298850574712,67.08860759493672,50.58823529411765,44.680851063829785,56.410256410256416,60.204081632653065,49.0,52.94117647058824,45.0,58.94736842105263,47.0,50.63291139240506,53.0,48.91304347826087,58.0,61.0,60.0,42.0,48.0,46.0,47.0,67.36842105263158,41.0,43.0,36.0,50.0,44.565217391304344,35.0,43.75,40.0,45.55555555555556,59.036144578313255,53.60824742268041,36.0,53.06122448979592,50.0,61.85567010309278,44.0,36.0,44.086021505376344,42.0,45.0,56.0,53.76344086021505,50.0,47.0,53.0,60.0,61.29032258064516,56.38297872340426,58.62068965517241,44.0,46.0,48.0,42.0,46.0,46.0,51.85185185185185,57.0,64.0,58.22784810126583,54.0,42.0,37.0,50.0,58.0,33.0,54.32098765432099,57.47126436781609,49.0,50.0,62.76595744680851,64.38356164383562,41.0,72.97297297297297,56.25000000000001,52.0,48.0,67.0,45.0,42.0,48.0,56.0,45.0,55.0,58.44155844155844,50.0,40.0,65.47619047619048,55.0561797752809,48.0,60.0,52.0,51.0,42.0,50.0,58.94736842105263,52.0,52.63157894736842,67.81609195402298,60.526315789473685,35.0,65.0,75.47169811320755,46.875,60.638297872340424,51.0,71.71717171717172,50.0,46.666666666666664,60.0,44.0,55.0,54.651162790697676,52.68817204301075,57.0,47.77777777777778,43.0,66.66666666666666,52.38095238095238,80.32786885245902,70.0,70.0,75.29411764705883,50.515463917525764,59.677419354838705,52.83018867924528,57.0,44.0,41.0,50.0,59.0,43.0,42.22222222222222,67.1875,63.768115942028984,51.19047619047619,52.94117647058824,49.0,59.375,41.1764705882353,51.0,58.0,40.0,39.0,55.0,50.505050505050505,68.53932584269663,52.0,36.0,43.0,58.0,44.578313253012055,51.0,55.91397849462365,47.22222222222222,50.0,34.0,59.0,57.14285714285714,48.0,61.0,59.5959595959596,44.70588235294118,54.0,53.0,40.0,53.60824742268041,60.0,69.0909090909091,40.0,29.896907216494842,64.77272727272728,57.77777777777778,60.9375,48.57142857142857,36.0,69.41176470588236,52.12765957446808
Connecticut,54.54545454545455,45.16129032258064,47.0,42.0,50.0,46.0,56.52173913043478,60.0,72.0,64.0,57.60869565217391,58.94736842105263,64.36781609195401,74.6987951807229,61.1764705882353,63.218390804597696,64.55696202531647,61.1764705882353,59.57446808510638,78.20512820512822,72.44897959183673,75.0,63.529411764705884,64.0,61.05263157894736,57.0,63.29113924050633,58.0,50.0,49.0,59.0,64.21052631578947,57.0,50.0,53.0,51.0,51.57894736842105,46.0,53.0,45.0,47.0,56.52173913043478,43.0,40.625,34.0,36.66666666666667,33.734939759036145,46.39175257731958,30.0,33.673469387755105,36.8421052631579,22.680412371134018,32.0,35.0,43.01075268817204,54.0,47.0,41.0,36.55913978494623,36.0,34.0,34.0,55.0,47.31182795698925,32.97872340425532,42.5287356321839,54.0,40.0,33.0,30.0,40.0,23.0,29.629629629629626,39.0,24.0,35.44303797468355,34.0,31.0,35.0,34.0,46.0,33.0,28.39506172839506,32.183908045977006,37.0,37.0,42.5531914893617,35.61643835616438,33.0,37.83783783783784,33.333333333333336,40.0,38.0,32.0,39.0,29.0,37.0,32.0,39.0,42.0,49.35064935064935,27.0,24.0,32.142857142857146,33.70786516853933,45.0,60.0,47.0,41.0,43.0,32.89473684210527,31.57894736842105,27.0,35.78947368421053,28.735632183908045,34.21052631578948,22.0,36.0,37.735849056603776,34.375,47.87234042553192,29.0,38.38383838383839,36.904761904761905,37.33333333333333,35.38461538461539,33.0,35.0,45.34883720930233,30.10752688172043,36.0,25.555555555555557,24.0,33.33333333333333,28.57142857142857,49.18032786885246,27.0,37.0,58.82352941176471,30.92783505154639,45.16129032258064,32.075471698113205,37.0,46.0,32.0,21.0,35.0,31.0,30.0,42.1875,47.82608695652174,39.285714285714285,37.64705882352941,33.0,48.4375,57.64705882352941,45.0,48.0,58.0,37.0,33.0,32.323232323232325,51.68539325842697,36.0,30.0,40.0,31.0,37.34939759036145,42.0,32.25806451612903,29.166666666666664,45.0,32.0,40.0,33.333333333333336,45.0,37.0,30.303030303030305,41.1764705882353,43.0,47.0,30.0,26.804123711340203,53.0,32.72727272727273,25.0,20.618556701030926,35.227272727272734,30.0,37.5,31.42857142857143,26.0,57.64705882352941,40.42553191489362
Delaware,70.70707070707071,90.32258064516128,78.0,80.0,55.0,65.0,65.21739130434783,69.0,89.0,56.0,61.95652173913043,77.89473684210526,58.62068965517241,75.90361445783134,58.82352941176471,59.770114942528735,74.68354430379748,70.58823529411765,46.808510638297875,71.7948717948718,70.40816326530613,94.0,83.52941176470588,100.0,94.73684210526315,75.0,64.55696202531647,50.0,53.26086956521739,92.0,100.0,88.42105263157895,81.0,85.0,81.0,77.0,44.21052631578947,60.0,59.0,65.0,91.0,98.91304347826086,33.0,61.458333333333336,41.0,38.88888888888889,48.19277108433735,96.90721649484536,60.0,60.204081632653065,52.631578947368425,72.16494845360825,52.0,37.0,54.83870967741935,88.0,57.0,42.0,69.89247311827957,58.0,81.0,59.0,41.0,58.064516129032256,55.31914893617021,54.02298850574712,43.0,81.0,53.0,48.0,40.0,38.0,49.382716049382715,56.0,73.0,50.63291139240506,48.0,37.0,49.0,34.0,44.0,42.0,64.19753086419753,45.97701149425287,64.0,75.0,76.59574468085106,56.16438356164383,44.0,51.35135135135135,68.75,55.0,69.0,100.0,81.0,68.0,83.0,46.0,80.0,56.0,81.81818181818181,65.0,64.0,61.904761904761905,75.2808988764045,48.0,53.0,41.0,56.0,32.0,25.0,29.473684210526315,50.0,61.05263157894736,63.218390804597696,35.526315789473685,24.0,34.0,71.69811320754717,81.25,100.0,66.0,43.43434343434344,73.80952380952381,48.0,67.6923076923077,56.0,79.0,91.86046511627907,69.89247311827957,45.0,42.22222222222222,16.0,18.055555555555554,19.047619047619047,22.950819672131146,47.0,42.0,47.05882352941177,12.371134020618555,72.58064516129032,83.01886792452831,100.0,59.0,62.0,25.0,26.0,82.0,74.44444444444444,39.0625,65.21739130434783,60.714285714285715,60.0,61.0,43.75,81.17647058823529,53.0,66.0,77.0,58.0,61.0,75.75757575757576,74.15730337078652,63.0,63.0,72.0,49.0,33.734939759036145,31.0,39.784946236559136,75.0,81.0,63.0,71.0,45.23809523809524,37.0,32.0,53.535353535353536,62.35294117647059,75.0,50.0,55.0,84.53608247422679,68.0,65.45454545454545,45.0,44.329896907216494,51.13636363636364,56.66666666666667,73.4375,64.28571428571429,42.0,55.294117647058826,48.93617021276596
District of Columbia,64.64646464646465,69.89247311827957,70.0,75.0,80.0,88.0,91.30434782608695,49.0,63.0,83.0,71.73913043478261,84.21052631578947,54.02298850574712,78.3132530120482,63.529411764705884,89.6551724137931,81.0126582278481,70.58823529411765,75.53191489361701,97.43589743589745,100.0,73.0,100.0,74.0,76.84210526315789,56.0,83.54430379746836,65.0,52.17391304347826,95.0,78.0,63.1578947368421,85.0,75.0,55.0,66.0,48.421052631578945,45.0,59.0,79.0,40.0,64.13043478260869,100.0,100.0,58.0,33.333333333333336,32.53012048192771,70.10309278350515,71.0,65.3061224489796,53.94736842105264,60.824742268041234,62.0,56.0,26.881720430107524,53.0,93.0,80.0,65.59139784946237,59.0,55.0,48.0,86.0,79.56989247311827,46.808510638297875,80.45977011494253,53.0,82.0,60.0,33.0,44.0,58.0,44.44444444444444,50.0,60.0,50.63291139240506,41.0,32.0,100.0,61.0,46.0,48.0,49.382716049382715,97.70114942528735,66.0,69.0,84.04255319148936,79.45205479452055,57.0,77.02702702702703,30.208333333333336,31.0,59.0,39.0,29.0,58.0,55.0,62.0,65.0,100.0,63.63636363636363,79.0,50.0,79.76190476190476,41.57303370786517,69.0,39.0,42.0,85.0,67.0,39.473684210526315,51.57894736842105,40.0,12.631578947368421,79.3103448275862,84.21052631578948,39.0,28.0,39.62264150943396,35.41666666666667,54.25531914893617,45.0,59.5959595959596,50.0,42.666666666666664,46.15384615384615,24.0,61.0,60.46511627906977,52.68817204301075,32.0,28.88888888888889,24.0,52.77777777777778,61.9047619047619,67.21311475409836,87.0,49.0,56.470588235294116,38.14432989690721,69.35483870967741,77.35849056603773,51.0,34.0,22.0,49.0,58.0,44.0,36.66666666666667,43.75,42.028985507246375,64.28571428571429,70.58823529411765,62.0,81.25,70.58823529411765,100.0,55.0,99.0,52.0,57.0,68.68686868686869,95.50561797752809,57.0,48.0,78.0,51.0,22.89156626506024,52.0,67.74193548387096,27.77777777777778,67.0,56.0,77.0,59.523809523809526,40.0,50.0,56.56565656565657,34.11764705882353,66.0,86.0,62.0,92.78350515463916,80.0,100.0,51.0,28.865979381443296,39.77272727272727,56.66666666666667,64.0625,47.142857142857146,52.0,80.0,63.829787234042556
Florida,51.515151515151516,54.83870967741935,51.0,47.0,49.0,51.0,56.52173913043478,51.0,57.0,56.0,60.8695652173913,60.0,56.32183908045977,59.036144578313255,49.411764705882355,58.62068965517241,56.9620253164557,57.64705882352941,51.06382978723404,69.23076923076924,56.12244897959184,56.0,69.41176470588236,54.0,57.89473684210526,52.0,63.29113924050633,52.0,54.347826086956516,48.0,55.0,62.10526315789473,58.0,49.0,53.0,51.0,52.63157894736842,46.0,46.0,52.0,48.0,57.60869565217391,38.0,44.79166666666667,39.0,45.55555555555556,53.01204819277109,48.45360824742268,51.0,43.87755102040816,43.42105263157895,40.20618556701031,40.0,39.0,49.46236559139785,51.0,44.0,47.0,45.16129032258064,48.0,45.0,42.0,59.0,51.61290322580645,41.48936170212766,43.678160919540225,42.0,56.0,48.0,44.0,43.0,41.0,40.74074074074074,49.0,55.0,37.9746835443038,44.0,42.0,38.0,42.0,46.0,42.0,45.67901234567901,41.37931034482759,33.0,58.0,60.638297872340424,52.054794520547944,39.0,62.16216216216216,43.75,46.0,34.0,50.0,39.0,41.0,36.0,47.0,46.0,48.0,57.14285714285714,47.0,37.0,44.047619047619044,40.449438202247194,39.0,43.0,38.0,30.0,33.0,42.10526315789474,42.10526315789473,37.0,41.05263157894736,47.12643678160919,52.631578947368425,27.0,46.0,49.056603773584904,39.583333333333336,50.0,48.0,48.484848484848484,44.047619047619044,44.0,44.61538461538462,40.0,46.0,50.0,43.01075268817204,47.0,37.77777777777778,37.0,47.22222222222222,34.92063492063492,36.0655737704918,45.0,46.0,45.88235294117647,41.23711340206185,38.70967741935483,33.9622641509434,36.0,34.0,33.0,35.0,43.0,37.0,36.66666666666667,39.0625,39.130434782608695,40.476190476190474,44.70588235294118,33.0,43.75,50.58823529411765,32.0,40.0,42.0,32.0,39.0,33.333333333333336,48.31460674157304,46.0,23.0,35.0,40.0,42.168674698795186,37.0,36.55913978494623,43.05555555555556,37.0,34.0,44.0,33.333333333333336,37.0,48.0,40.40404040404041,43.529411764705884,47.0,45.0,38.0,46.39175257731958,54.0,45.45454545454545,30.0,26.804123711340203,43.18181818181819,45.55555555555556,45.3125,34.285714285714285,38.0,43.529411764705884,34.04255319148936
