State,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29
Alabama,67.0,76.0,81.0,95.40229885057471,81.60919540229885,78.0,88.0,92.0,93.0,100.0,85.0,92.22222222222223,81.0,81.0,78.0,69.0,85.0,79.0,90.69767441860466,77.65957446808511,100.0,80.0,81.63265306122449,70.0,86.0,74.0,94.56521739130434,85.0,100.0,90.10989010989012,83.0,78.02197802197803,91.25,76.28865979381442,79.0,75.0,78.125,74.0,60.0,85.0,79.0,80.0,74.0,92.5531914893617,79.34782608695652,82.97872340425532,85.71428571428571,87.91208791208791,89.77272727272728,87.62886597938143,88.04347826086956,98.93617021276596,95.69892473118279,100.0,100.0,100.0,100.0,100.0,92.40506329113924,98.85057471264368,94.0,100.0,100.00000000000001,89.0,91.95402298850574,81.81818181818183,90.81632653061224,69.0,77.0,82.6086956521739,91.02564102564104,89.28571428571429,96.15384615384616,96.1038961038961,79.51807228915663,91.66666666666667,96.34146341463415,91.46341463414635,83.9506172839506,89.74358974358975,82.55813953488372,89.01098901098902,93.67088607594937,92.94117647058823,87.36842105263158,97.61904761904762,89.47368421052633,82.02247191011236,74.44444444444444,86.04651162790698,76.04166666666667,93.75,89.6551724137931,100.0,85.18518518518519,80.89887640449439,77.0,85.41666666666667,100.0,83.52941176470588,100.0,85.3932584269663,86.45833333333334,87.34177215189874,82.82828282828284,74.0,66.66666666666666,63.0,94.0,73.73737373737374,72.82608695652173,75.30864197530863,90.32258064516128,80.24691358024691,77.90697674418605,67.0,76.66666666666667,89.41176470588236,64.0,85.56701030927834,71.13402061855669,84.81012658227849,78.57142857142857,67.85714285714286,70.0,78.0,86.02150537634408,72.72727272727273,70.66666666666666,77.0,62.921348314606746,69.31818181818183,77.27272727272728,72.72727272727272,75.32467532467533,90.0,71.0,74.0,63.51351351351351,73.19587628865979,88.42105263157895,86.07594936708861,78.3132530120482,64.0,65.625,63.0,79.0,80.68181818181819,68.75,68.0,50.0,45.0,60.0,62.0,67.0,72.52747252747254,56.0,44.0,49.494949494949495,29.0,60.75949367088608,53.0,66.0,58.0,60.0,61.0,64.0,73.0,77.0,77.89473684210526,70.0,77.41935483870967,69.0,73.0,60.0,85.0,88.17204301075269,78.0,65.06024096385542,76.0,68.0,89.47368421052632,60.0,76.0,84.88372093023256,77.41935483870967,79.71014492753623,78.49462365591397,64.0,53.0,84.6938775510204,74.46808510638297,68.75,62.0
Alaska,42.0,64.0,46.0,54.02298850574712,67.81609195402298,58.0,43.0,49.0,61.0,37.0,55.0,68.88888888888889,70.0,54.0,61.0,34.0,73.0,33.0,36.04651162790698,27.659574468085104,66.0,49.0,36.734693877551024,37.0,36.0,43.0,85.8695652173913,40.0,44.0,62.63736263736264,68.0,73.62637362637363,52.5,62.88659793814432,48.0,64.58333333333334,61.458333333333336,54.0,55.0,42.0,50.0,39.0,63.0,64.8936170212766,65.21739130434783,74.46808510638297,83.33333333333333,78.02197802197803,62.50000000000001,48.45360824742268,66.30434782608695,58.51063829787234,53.76344086021505,55.208333333333336,35.0,38.04347826086956,48.648648648648646,60.75949367088608,59.493670886075954,41.37931034482759,40.0,43.0,62.63736263736264,46.0,41.37931034482759,69.31818181818183,53.06122448979592,36.0,35.0,51.086956521739125,52.56410256410257,41.666666666666664,78.20512820512822,51.94805194805195,39.75903614457832,66.66666666666667,68.29268292682927,54.8780487804878,59.25925925925925,55.12820512820513,81.39534883720931,100.00000000000001,41.77215189873418,51.76470588235294,84.21052631578947,95.23809523809524,63.15789473684211,43.82022471910113,61.111111111111114,66.27906976744187,42.708333333333336,66.25,48.275862068965516,58.82352941176471,53.7037037037037,79.77528089887642,60.0,81.25,56.06060606060606,44.70588235294118,65.3061224489796,59.55056179775281,71.875,69.62025316455697,53.535353535353536,68.0,78.49462365591397,54.0,72.0,44.44444444444445,64.13043478260869,69.1358024691358,54.83870967741935,48.148148148148145,39.53488372093023,80.0,87.77777777777779,63.529411764705884,23.0,51.546391752577314,37.113402061855666,32.911392405063296,53.06122448979592,57.14285714285714,66.0,67.0,45.16129032258064,53.409090909090914,61.33333333333333,49.0,50.56179775280899,38.63636363636364,61.36363636363637,64.93506493506493,58.44155844155844,73.0,60.0,46.0,54.05405405405405,73.19587628865979,32.63157894736842,70.8860759493671,69.87951807228916,53.0,41.66666666666667,49.0,60.0,53.409090909090914,48.75,41.0,38.0,62.0,38.0,48.0,26.0,36.26373626373627,41.0,40.0,41.41414141414142,28.0,62.025316455696206,51.0,35.0,51.0,39.0,35.0,60.0,40.0,23.0,31.57894736842105,53.333333333333336,67.74193548387096,50.0,36.0,61.0,50.0,48.387096774193544,66.0,65.06024096385542,91.0,52.0,47.368421052631575,55.0,30.0,45.34883720930233,59.677419354838705,31.884057971014492,18.279569892473116,33.0,40.0,51.02040816326531,46.808510638297875,45.833333333333336,49.0
Arizona,78.0,91.0,84.0,88.50574712643677,86.20689655172413,83.0,67.0,84.0,98.0,74.0,85.0,72.22222222222223,73.0,68.0,70.0,68.0,76.0,64.0,66.27906976744187,63.829787234042556,93.0,67.0,94.89795918367348,75.0,69.0,74.0,78.26086956521739,62.0,81.0,78.02197802197803,76.0,74.72527472527473,77.5,74.22680412371133,61.0,54.16666666666667,64.58333333333334,53.0,47.0,52.0,54.0,49.0,52.0,63.829787234042556,66.30434782608695,72.34042553191489,66.66666666666667,67.03296703296704,72.72727272727273,72.16494845360825,73.91304347826086,93.61702127659575,100.0,96.875,83.0,86.95652173913044,89.1891891891892,86.07594936708861,86.07594936708861,81.60919540229885,83.0,92.0,82.41758241758242,72.0,72.41379310344827,75.0,69.38775510204081,61.0,61.0,67.39130434782608,79.48717948717949,71.42857142857143,80.76923076923077,72.72727272727272,69.87951807228916,73.80952380952381,74.39024390243902,70.73170731707317,72.8395061728395,80.76923076923077,68.6046511627907,70.32967032967034,67.08860759493672,70.58823529411765,60.0,65.47619047619048,73.6842105263158,64.04494382022472,70.0,74.4186046511628,58.333333333333336,58.75,60.91954022988505,67.05882352941177,66.66666666666667,60.67415730337079,58.0,47.91666666666667,68.18181818181819,52.94117647058824,58.16326530612245,65.1685393258427,70.83333333333334,72.15189873417722,53.535353535353536,46.0,43.01075268817204,46.0,69.0,52.525252525252526,54.347826086956516,50.61728395061728,64.51612903225806,49.382716049382715,54.651162790697676,47.0,47.77777777777778,64.70588235294117,50.0,61.85567010309278,53.60824742268041,58.22784810126583,50.0,47.61904761904762,57.0,53.0,60.21505376344086,50.00000000000001,50.666666666666664,61.0,51.68539325842697,61.36363636363637,54.54545454545455,50.64935064935065,51.94805194805195,55.0,47.0,45.0,52.7027027027027,52.577319587628864,60.0,72.15189873417722,53.01204819277109,47.0,44.79166666666667,49.0,52.0,63.63636363636364,57.5,58.0,39.0,41.0,44.0,45.0,53.0,64.83516483516485,42.0,42.0,46.46464646464647,36.0,54.43037974683545,58.0,57.0,46.0,49.0,53.0,59.0,53.0,62.0,65.26315789473684,63.333333333333336,59.13978494623655,50.0,56.0,50.0,66.0,75.26881720430107,71.0,71.0843373493976,67.0,62.0,62.10526315789473,46.0,59.0,77.90697674418605,72.58064516129032,68.1159420289855,74.19354838709677,75.0,61.0,75.51020408163265,70.2127659574468,55.208333333333336,64.0
Arkansas,64.0,69.0,70.0,70.11494252873563,100.0,75.0,84.0,74.0,83.0,83.0,83.0,91.11111111111111,72.0,85.0,84.0,77.0,100.0,100.0,87.2093023255814,72.34042553191489,90.0,70.0,95.91836734693878,68.0,83.0,99.0,95.65217391304347,80.0,100.0,92.30769230769232,89.0,85.71428571428572,92.5,94.84536082474226,81.0,100.0,98.95833333333334,64.0,82.0,100.0,93.0,81.0,68.0,75.53191489361701,80.43478260869564,88.29787234042553,84.52380952380952,83.51648351648352,76.13636363636364,82.4742268041237,89.13043478260869,93.61702127659575,95.69892473118279,96.875,82.0,82.6086956521739,87.83783783783784,81.0126582278481,81.0126582278481,98.85057471264368,100.0,89.0,90.10989010989012,88.0,100.0,94.31818181818183,65.3061224489796,56.0,66.0,78.26086956521739,84.61538461538463,88.09523809523809,83.33333333333334,85.71428571428571,89.15662650602411,77.38095238095238,84.14634146341463,82.92682926829268,80.24691358024691,83.33333333333334,58.139534883720934,85.71428571428572,78.48101265822785,67.05882352941177,80.0,90.47619047619048,85.52631578947368,61.79775280898877,72.22222222222223,82.55813953488372,80.20833333333334,87.5,87.35632183908045,80.0,79.62962962962963,66.29213483146069,76.0,75.0,87.87878787878788,63.529411764705884,68.36734693877551,73.03370786516854,79.16666666666667,75.9493670886076,78.7878787878788,70.0,72.04301075268816,74.0,79.0,77.77777777777779,79.34782608695652,66.66666666666666,79.56989247311827,65.4320987654321,59.30232558139535,55.0,62.22222222222223,72.94117647058823,74.0,77.31958762886597,76.28865979381442,92.40506329113924,71.42857142857143,69.04761904761905,71.0,73.0,72.04301075268816,64.77272727272728,77.33333333333333,75.0,70.7865168539326,69.31818181818183,70.45454545454547,68.83116883116882,68.83116883116882,67.0,62.0,73.0,67.56756756756756,64.94845360824742,88.42105263157895,94.9367088607595,74.6987951807229,66.0,70.83333333333334,65.0,68.0,69.31818181818183,71.25,77.0,51.0,42.0,48.0,57.0,59.0,69.23076923076924,59.0,39.0,46.46464646464647,27.0,53.16455696202532,64.0,56.0,49.0,49.0,57.0,60.0,48.0,67.0,78.94736842105263,75.55555555555556,59.13978494623655,50.0,50.0,54.0,72.0,72.04301075268816,64.0,79.51807228915663,73.0,87.0,69.47368421052632,56.0,74.0,80.23255813953489,74.19354838709677,56.52173913043478,53.76344086021505,52.0,64.0,73.46938775510205,76.59574468085106,55.208333333333336,61.0
California,36.0,46.0,51.0,56.32183908045977,59.770114942528735,52.0,51.0,49.0,57.0,56.0,58.0,58.88888888888889,50.0,52.0,50.0,51.0,61.0,53.0,56.97674418604652,51.06382978723404,57.0,47.0,64.28571428571429,56.0,49.0,46.0,53.26086956521739,45.0,44.0,49.45054945054945,53.0,50.549450549450555,50.0,46.39175257731958,39.0,45.833333333333336,47.91666666666667,37.0,34.0,36.0,35.0,33.0,31.0,38.29787234042553,40.21739130434782,40.42553191489362,40.476190476190474,40.659340659340664,42.04545454545455,39.17525773195876,40.21739130434782,42.5531914893617,39.784946236559136,44.79166666666667,44.0,42.391304347826086,43.24324324324324,44.30379746835443,43.037974683544306,48.275862068965516,50.0,56.0,54.94505494505495,54.0,58.62068965517241,57.95454545454546,54.08163265306123,46.0,42.0,54.347826086956516,64.1025641025641,59.523809523809526,60.25641025641026,58.44155844155844,56.62650602409639,60.714285714285715,59.75609756097561,60.97560975609756,62.96296296296296,70.51282051282053,62.79069767441861,67.03296703296704,64.55696202531647,60.0,51.57894736842105,61.904761904761905,60.526315789473685,51.68539325842697,54.44444444444445,61.62790697674419,51.04166666666667,52.5,56.32183908045977,58.82352941176471,61.111111111111114,56.17977528089888,49.0,47.91666666666667,54.54545454545455,49.411764705882355,54.08163265306123,51.68539325842697,62.50000000000001,75.9493670886076,53.535353535353536,50.0,43.01075268817204,45.0,64.0,56.56565656565657,53.26086956521739,46.913580246913575,53.76344086021505,46.913580246913575,52.32558139534884,53.0,46.66666666666667,50.58823529411765,41.0,51.546391752577314,47.42268041237113,56.9620253164557,42.85714285714286,42.857142857142854,48.0,45.0,47.31182795698925,47.727272727272734,44.0,49.0,44.943820224719104,46.59090909090909,46.59090909090909,41.55844155844156,44.15584415584416,57.0,43.0,46.0,44.5945945945946,44.329896907216494,50.526315789473685,58.22784810126583,51.807228915662655,43.0,41.66666666666667,45.0,45.0,43.18181818181819,45.0,49.0,34.0,36.0,36.0,33.0,39.0,49.45054945054945,39.0,31.0,37.37373737373738,30.0,40.50632911392405,45.0,53.0,45.0,42.0,43.0,54.0,45.0,46.0,53.68421052631579,52.22222222222222,53.76344086021505,45.0,45.0,44.0,51.0,53.76344086021505,54.0,56.62650602409639,53.0,54.0,58.94736842105263,41.0,56.0,67.44186046511628,61.29032258064516,57.971014492753625,63.44086021505376,54.0,47.0,60.204081632653065,61.702127659574465,51.04166666666667,54.0
Colorado,60.0,88.0,84.0,85.0574712643678,90.80459770114942,95.0,84.0,89.0,86.0,76.0,77.0,80.0,67.0,67.0,76.0,77.0,83.0,71.0,83.72093023255815,70.2127659574468,85.0,78.0,78.57142857142857,66.0,61.0,65.0,78.26086956521739,79.0,83.0,84.61538461538463,80.0,76.92307692307693,78.75,79.38144329896906,64.0,65.625,71.875,69.0,49.0,62.0,61.0,58.0,59.0,67.02127659574468,63.04347826086956,61.702127659574465,66.66666666666667,68.13186813186813,76.13636363636364,70.10309278350515,68.47826086956522,68.08510638297872,63.44086021505376,61.458333333333336,70.0,69.56521739130434,71.62162162162161,69.62025316455697,73.41772151898735,74.71264367816092,76.0,73.0,70.32967032967034,69.0,82.75862068965517,100.00000000000001,100.0,100.0,100.0,100.0,100.00000000000001,94.04761904761905,93.58974358974359,88.31168831168831,92.77108433734941,90.47619047619048,97.5609756097561,97.5609756097561,83.9506172839506,85.8974358974359,88.37209302325581,81.31868131868133,83.54430379746836,87.05882352941177,84.21052631578947,80.95238095238095,81.57894736842105,74.15730337078652,68.88888888888889,97.67441860465117,77.08333333333334,75.0,81.60919540229885,88.23529411764706,88.88888888888889,82.02247191011236,78.0,77.08333333333334,84.84848484848484,78.82352941176471,77.55102040816327,86.51685393258427,85.41666666666667,97.46835443037975,83.83838383838385,75.0,72.04301075268816,70.0,87.0,88.8888888888889,84.78260869565217,85.18518518518518,94.6236559139785,69.1358024691358,87.2093023255814,81.0,77.77777777777779,90.58823529411765,73.0,87.62886597938143,73.19587628865979,93.67088607594937,77.55102040816327,83.33333333333333,83.0,87.0,84.94623655913978,77.27272727272728,80.0,83.0,71.91011235955057,79.54545454545455,88.63636363636364,71.42857142857143,79.22077922077922,90.0,80.0,77.0,74.32432432432432,71.13402061855669,91.57894736842104,93.67088607594937,78.3132530120482,77.0,68.75,81.0,86.0,73.86363636363637,73.75,82.0,56.0,65.0,57.0,64.0,75.0,79.12087912087912,66.0,49.0,52.525252525252526,45.0,73.41772151898735,72.0,80.0,66.0,67.0,70.0,86.0,74.0,82.0,80.0,81.11111111111111,75.26881720430107,63.0,74.0,81.0,86.0,89.24731182795698,93.0,89.15662650602411,82.0,85.0,94.73684210526315,69.0,83.0,90.69767441860466,100.0,89.85507246376811,91.39784946236558,96.0,81.0,94.89795918367348,100.0,85.41666666666667,85.0
Connecticut,57.0,75.0,57.0,56.32183908045977,64.36781609195401,57.0,66.0,64.0,70.0,60.0,68.0,74.44444444444444,57.0,65.0,78.0,72.0,92.0,72.0,94.18604651162791,75.53191489361701,96.0,87.0,82.6530612244898,55.0,63.0,61.0,77.17391304347825,82.0,74.0,83.51648351648352,72.0,61.53846153846155,77.5,65.97938144329896,56.0,73.95833333333334,72.91666666666667,54.0,42.0,50.0,46.0,53.0,50.0,60.638297872340424,47.826086956521735,54.25531914893617,57.14285714285714,54.94505494505495,53.409090909090914,52.577319587628864,57.60869565217391,40.42553191489362,39.784946236559136,42.708333333333336,39.0,45.65217391304348,40.54054054054054,46.835443037974684,46.835443037974684,52.8735632183908,66.0,65.0,64.83516483516485,55.0,50.574712643678154,54.54545454545455,50.0,44.0,46.0,64.13043478260869,70.51282051282053,70.23809523809524,73.07692307692308,61.03896103896104,60.24096385542169,64.28571428571429,64.6341463414634,67.07317073170732,74.07407407407408,75.64102564102565,75.58139534883722,74.72527472527473,73.41772151898735,60.0,67.36842105263158,76.19047619047619,57.89473684210527,56.17977528089888,75.55555555555556,91.86046511627907,72.91666666666667,76.25,75.86206896551724,76.47058823529412,90.74074074074075,77.52808988764045,69.0,66.66666666666667,78.78787878787878,58.82352941176471,56.12244897959184,65.1685393258427,79.16666666666667,86.07594936708861,65.65656565656566,67.0,60.21505376344086,66.0,78.0,69.6969696969697,72.82608695652173,67.90123456790123,69.89247311827957,70.37037037037037,73.25581395348837,71.0,85.55555555555556,97.64705882352942,72.0,83.50515463917525,65.97938144329896,75.9493670886076,68.36734693877551,64.28571428571429,74.0,81.0,69.89247311827957,79.54545454545455,65.33333333333333,87.0,84.26966292134833,85.22727272727273,81.81818181818183,77.92207792207792,68.83116883116882,77.0,63.0,74.0,77.02702702702703,81.44329896907216,100.0,100.0,78.3132530120482,78.0,86.45833333333334,79.0,82.0,76.13636363636364,66.25,72.0,58.0,77.0,67.0,76.0,85.0,76.92307692307693,64.0,59.0,67.67676767676768,51.0,88.60759493670886,71.0,79.0,72.0,69.0,60.0,87.0,83.0,77.0,76.84210526315789,75.55555555555556,81.72043010752688,65.0,60.0,76.0,90.0,92.47311827956989,71.0,78.3132530120482,72.0,70.0,75.78947368421052,66.0,79.0,72.09302325581396,80.64516129032258,69.56521739130434,83.87096774193547,80.0,68.0,75.51020408163265,74.46808510638297,77.08333333333334,72.0
Delaware,74.0,56.0,54.0,68.9655172413793,86.20689655172413,100.0,89.0,76.0,57.0,70.0,50.0,67.77777777777779,70.0,81.0,87.0,58.0,61.0,68.0,75.58139534883722,52.12765957446808,59.0,75.0,71.42857142857143,44.0,63.0,62.0,85.8695652173913,55.0,95.0,68.13186813186813,63.0,65.93406593406594,62.5,91.75257731958762,70.0,88.54166666666667,60.41666666666667,47.0,46.0,64.0,63.0,59.0,60.0,48.93617021276596,40.21739130434782,59.57446808510638,63.095238095238095,42.85714285714286,47.727272727272734,53.60824742268041,65.21739130434783,55.31914893617021,33.33333333333333,44.79166666666667,44.0,57.60869565217391,68.91891891891892,45.56962025316456,41.77215189873418,32.183908045977006,48.0,48.0,43.956043956043956,64.0,35.632183908045974,31.81818181818182,37.755102040816325,41.0,52.0,66.30434782608695,69.23076923076924,41.666666666666664,56.410256410256416,80.51948051948052,63.85542168674699,84.52380952380952,100.0,92.6829268292683,82.71604938271605,96.15384615384616,100.0,73.62637362637363,84.81012658227849,100.0,70.52631578947368,72.61904761904762,88.15789473684211,91.01123595505618,74.44444444444444,89.53488372093024,80.20833333333334,100.0,95.40229885057471,88.23529411764706,81.48148148148148,100.0,100.0,98.95833333333334,84.84848484848484,71.76470588235294,84.6938775510204,100.0,68.75,97.46835443037975,69.6969696969697,81.0,55.91397849462365,82.0,78.0,73.73737373737374,80.43478260869564,82.71604938271605,69.89247311827957,62.96296296296296,67.44186046511628,54.0,100.0,100.0,85.0,89.69072164948453,84.53608247422679,94.9367088607595,84.6938775510204,71.42857142857143,75.0,92.0,64.51612903225806,82.95454545454547,84.0,77.0,62.921348314606746,86.36363636363637,95.45454545454547,77.92207792207792,74.02597402597402,95.0,60.0,72.0,67.56756756756756,76.28865979381442,82.10526315789473,92.40506329113924,62.65060240963856,39.0,77.08333333333334,71.0,91.0,85.22727272727273,67.5,96.0,77.0,79.0,67.0,49.0,70.0,71.42857142857143,67.0,61.0,56.56565656565657,51.0,97.46835443037975,75.0,52.0,66.0,73.0,70.0,68.0,75.0,89.0,68.42105263157895,57.77777777777778,73.11827956989247,100.0,79.0,78.0,77.0,76.34408602150538,69.0,100.00000000000001,88.0,81.0,78.94736842105263,53.0,79.0,77.90697674418605,93.54838709677419,73.91304347826087,79.56989247311827,65.0,64.0,72.44897959183673,47.87234042553192,67.70833333333334,100.0
District of Columbia,74.0,80.0,75.0,72.41379310344827,68.9655172413793,97.0,79.0,49.0,70.0,75.0,66.0,93.33333333333334,58.0,85.0,82.0,63.0,78.0,53.0,62.79069767441861,65.95744680851064,74.0,96.0,71.42857142857143,43.0,46.0,42.0,73.91304347826086,74.0,81.0,64.83516483516485,50.0,41.75824175824176,60.0,56.70103092783505,67.0,53.12500000000001,56.25000000000001,49.0,49.0,34.0,43.0,36.0,42.0,59.57446808510638,30.43478260869565,48.93617021276596,54.76190476190476,48.35164835164836,51.13636363636364,41.23711340206185,59.78260869565217,45.744680851063826,26.881720430107524,39.583333333333336,35.0,40.21739130434782,41.89189189189189,48.10126582278481,53.16455696202532,39.08045977011494,34.0,62.0,52.74725274725275,50.0,60.91954022988505,44.31818181818182,44.89795918367347,48.0,46.0,67.39130434782608,58.97435897435898,58.333333333333336,55.12820512820513,62.33766233766234,83.13253012048193,83.33333333333333,68.29268292682927,59.75609756097561,61.72839506172839,88.46153846153847,72.09302325581396,61.53846153846155,84.81012658227849,68.23529411764706,45.26315789473684,57.14285714285714,40.78947368421053,58.426966292134836,68.88888888888889,76.74418604651163,68.75,71.25,67.81609195402298,72.94117647058823,62.96296296296296,77.52808988764045,77.0,100.0,83.33333333333333,54.11764705882353,84.6938775510204,60.67415730337079,65.625,88.60759493670886,62.62626262626263,65.0,50.537634408602145,51.0,69.0,74.74747474747475,67.39130434782608,54.32098765432099,81.72043010752688,62.96296296296296,46.51162790697675,56.0,45.55555555555556,76.47058823529412,52.0,91.75257731958762,64.94845360824742,70.8860759493671,75.51020408163265,61.904761904761905,81.0,69.0,82.79569892473118,67.04545454545455,69.33333333333333,63.0,57.30337078651686,82.95454545454547,67.04545454545455,80.51948051948052,64.93506493506493,42.0,64.0,67.0,52.7027027027027,55.6701030927835,74.73684210526315,89.87341772151899,86.74698795180724,64.0,43.75,66.0,58.0,55.68181818181819,58.75,80.0,57.0,59.0,70.0,61.0,64.0,82.41758241758242,66.0,45.0,64.64646464646465,51.0,79.74683544303798,69.0,77.0,52.0,54.0,50.0,70.0,74.0,64.0,72.63157894736841,64.44444444444444,77.41935483870967,59.0,55.0,76.0,68.0,69.89247311827957,52.0,95.18072289156628,79.0,77.0,82.10526315789473,61.0,79.0,89.53488372093024,67.74193548387096,81.15942028985508,97.84946236559139,79.0,65.0,86.73469387755102,64.8936170212766,86.45833333333334,73.0
Florida,100.0,100.0,88.0,91.95402298850574,85.0574712643678,76.0,81.0,76.0,80.0,74.0,77.0,87.77777777777779,75.0,70.0,64.0,65.0,74.0,65.0,82.55813953488372,64.8936170212766,80.0,67.0,87.75510204081633,71.0,60.0,68.0,79.34782608695652,65.0,76.0,75.82417582417582,75.0,71.42857142857143,77.5,73.19587628865979,60.0,69.79166666666667,66.66666666666667,58.0,49.0,62.0,64.0,65.0,63.0,74.46808510638297,83.69565217391303,82.97872340425532,78.57142857142857,73.62637362637363,86.36363636363637,79.38144329896906,83.69565217391303,73.40425531914893,62.36559139784946,72.91666666666667,69.0,72.82608695652173,82.43243243243244,79.74683544303798,77.21518987341773,82.75862068965517,81.0,83.0,78.02197802197803,83.0,86.20689655172413,77.27272727272728,72.44897959183673,61.0,60.0,78.26086956521739,91.02564102564104,84.52380952380952,84.61538461538463,85.71428571428571,81.9277108433735,86.9047619047619,89.02439024390243,90.24390243902438,85.18518518518518,85.8974358974359,77.90697674418605,85.71428571428572,88.60759493670886,87.05882352941177,85.26315789473684,94.04761904761905,90.78947368421053,86.51685393258427,92.22222222222223,89.53488372093024,84.375,88.75,88.50574712643677,96.47058823529412,90.74074074074075,83.14606741573034,77.0,79.16666666666667,92.42424242424242,75.29411764705883,78.57142857142857,74.15730337078652,78.125,87.34177215189874,69.6969696969697,68.0,66.66666666666666,71.0,89.0,74.74747474747475,73.91304347826086,71.60493827160494,82.79569892473118,70.37037037037037,66.27906976744187,67.0,68.88888888888889,76.47058823529412,68.0,84.53608247422679,74.22680412371133,88.60759493670886,67.34693877551021,64.28571428571429,74.0,74.0,74.19354838709677,72.72727272727273,60.0,71.0,61.79775280898877,70.45454545454547,75.0,59.74025974025974,59.74025974025974,69.0,60.0,66.0,66.21621621621621,64.94845360824742,84.21052631578947,89.87341772151899,73.49397590361447,62.0,62.50000000000001,69.0,73.0,75.0,71.25,77.0,51.0,53.0,57.0,55.0,67.0,78.02197802197803,55.0,45.0,58.58585858585859,45.0,69.62025316455697,72.0,77.0,63.0,59.0,66.0,77.0,69.0,73.0,88.42105263157895,78.88888888888889,73.11827956989247,67.0,68.0,79.0,86.0,87.09677419354838,76.0,75.90361445783134,81.0,76.0,90.52631578947368,66.0,83.0,87.2093023255814,85.48387096774194,84.05797101449275,83.87096774193547,84.0,69.0,85.71428571428572,82.97872340425532,73.95833333333334,71.0
