geoName,board games,board games,board games,board games,board games,board games,board games,board games,board games
Alabama,19,0,7,24,12,9,7,27,0
Alaska,0,0,0,0,0,0,57,0,0
Arizona,11,13,10,15,12,10,10,13,27
Arkansas,59,40,0,30,15,0,0,12,0
California,14,17,12,20,10,11,9,11,12
Colorado,22,34,23,50,8,24,21,7,31
Connecticut,39,17,28,25,21,0,11,21,23
Delaware,0,93,30,73,36,0,0,29,0
District of Columbia,0,53,0,0,0,0,0,0,0
Florida,14,12,8,10,12,13,6,5,0
Georgia,10,13,7,22,7,6,5,3,8
Hawaii,31,0,23,0,55,29,0,46,0
Idaho,100,45,57,45,0,25,20,23,0
Illinois,23,28,11,44,16,13,12,10,55
Indiana,28,18,9,28,14,21,14,14,0
Iowa,40,16,15,37,19,26,31,39,0
Kansas,16,19,12,41,14,15,23,90,0
Kentucky,10,24,0,36,0,10,12,38,25
Louisiana,11,12,7,18,18,15,12,31,78
Maine,0,38,0,57,43,61,25,0,0
Maryland,17,30,16,14,14,10,8,15,27
Massachusetts,28,27,11,39,24,12,12,11,48
Michigan,18,31,20,36,20,10,9,14,10
Minnesota,27,40,22,35,6,25,18,0,33
Mississippi,18,43,26,31,0,17,21,55,0
Missouri,31,12,5,31,13,40,37,22,17
Montana,0,0,0,0,0,42,33,0,0
Nebraska,40,24,15,37,19,39,15,17,100
Nevada,18,14,0,0,21,23,27,10,29
New Hampshire,28,33,42,100,74,27,0,0,0
New Jersey,8,21,11,20,10,9,10,15,9
New Mexico,0,24,15,71,18,19,16,15,0
New York,13,15,6,21,11,15,12,16,21
North Carolina,9,8,16,28,6,13,7,12,17
North Dakota,0,0,41,98,100,0,43,42,0
Ohio,24,26,15,25,10,25,18,15,46
Oklahoma,12,29,0,21,11,23,32,14,0
Oregon,27,49,14,32,49,26,14,40,0
Pennsylvania,10,28,9,25,14,10,14,18,27
Rhode Island,0,38,0,0,31,100,27,53,0
South Carolina,13,30,12,30,8,16,13,12,21
South Dakota,0,0,0,0,0,0,0,0,0
Tennessee,9,14,6,10,15,5,9,15,14
Texas,9,14,9,20,10,12,6,11,19
Utah,12,43,18,64,11,11,23,39,30
Vermont,0,79,100,0,61,64,53,100,0
Virginia,21,12,6,45,25,9,12,12,20
Washington,21,48,21,51,15,16,20,40,36
West Virginia,0,32,30,48,25,0,0,24,0
Wisconsin,43,24,23,43,19,20,24,40,17
Wyoming,0,100,0,0,0,84,100,63,0
