geoName,cafe,cafe,cafe,cafe,cafe,cafe,cafe,cafe,cafe
Alabama,44,42,38,39,33,40,42,46,28
Alaska,52,63,55,25,43,56,34,20,79
Arizona,53,62,56,40,43,50,56,56,72
Arkansas,39,31,44,38,36,47,45,38,52
California,63,63,57,51,46,51,59,64,66
Colorado,45,53,51,55,43,48,47,54,54
Connecticut,47,68,52,40,33,41,61,43,39
Delaware,59,48,51,41,33,44,64,52,69
District of Columbia,100,53,52,59,71,55,53,83,84
Florida,60,59,51,46,44,46,58,55,65
Georgia,61,55,50,42,41,51,61,63,59
Hawaii,80,100,95,100,100,100,95,94,94
Idaho,52,70,62,43,66,41,45,71,81
Illinois,53,48,42,35,40,37,53,55,60
Indiana,33,28,30,31,25,31,38,26,34
Iowa,31,31,27,21,32,28,40,38,70
Kansas,39,57,42,26,36,37,32,18,32
Kentucky,32,29,23,29,25,36,31,45,58
Louisiana,85,74,100,86,77,75,78,78,70
Maine,45,50,41,30,29,54,73,66,78
Maryland,63,47,47,42,35,41,51,43,37
Massachusetts,83,70,67,52,50,54,74,69,58
Michigan,38,40,46,37,31,39,39,36,31
Minnesota,41,47,40,29,41,46,61,44,63
Mississippi,38,28,41,34,27,36,36,35,44
Missouri,57,48,46,29,40,41,46,49,41
Montana,61,32,41,29,29,55,64,81,31
Nebraska,26,27,22,44,31,24,41,30,21
Nevada,66,82,80,64,57,57,71,69,62
New Hampshire,34,79,41,36,47,52,42,51,85
New Jersey,40,42,51,36,33,37,58,53,53
New Mexico,59,67,65,51,60,46,76,59,100
New York,47,46,52,42,41,41,49,49,42
North Carolina,54,46,48,42,35,40,44,39,43
North Dakota,18,31,23,19,19,33,31,0,20
Ohio,40,38,35,32,29,34,44,32,36
Oklahoma,40,51,40,38,35,37,47,39,38
Oregon,60,58,63,54,48,51,49,64,90
Pennsylvania,55,56,50,35,35,39,51,49,47
Rhode Island,59,59,39,41,50,48,49,49,97
South Carolina,43,54,40,34,48,46,47,43,55
South Dakota,21,10,28,18,18,33,45,25,40
Tennessee,55,49,45,44,36,41,64,55,48
Texas,64,56,50,42,43,49,65,57,59
Utah,90,93,86,76,73,73,100,100,88
Vermont,57,37,70,40,57,46,76,71,46
Virginia,49,49,45,35,32,41,56,58,55
Washington,48,61,52,43,40,35,43,55,62
West Virginia,6,25,31,16,30,40,53,22,19
Wisconsin,43,45,43,37,37,39,70,43,33
Wyoming,31,15,0,44,36,22,47,40,60
