geoName,concert,concert,concert,concert,concert,concert,concert,concert,concert
Alabama,64,35,38,80,24,21,26,41,56
Alaska,85,0,0,0,0,42,0,67,0
Arizona,39,49,28,51,19,24,31,40,33
Arkansas,58,53,15,29,10,28,23,53,29
California,68,58,39,41,18,26,23,39,40
Colorado,14,31,26,51,22,23,28,35,32
Connecticut,61,77,35,38,24,27,16,34,57
Delaware,69,100,0,48,46,46,23,74,0
District of Columbia,56,55,0,0,24,23,26,0,84
Florida,58,37,48,57,27,29,24,52,22
Georgia,55,52,29,51,24,24,29,35,28
Hawaii,36,79,58,72,18,17,26,0,0
Idaho,43,0,24,59,30,43,44,0,0
Illinois,69,58,37,29,19,30,21,29,17
Indiana,46,42,50,33,13,29,32,39,27
Iowa,69,43,31,32,20,24,42,61,46
Kansas,37,49,43,45,9,35,26,22,80
Kentucky,47,56,46,47,18,32,9,37,36
Louisiana,78,25,32,23,18,35,29,33,91
Maine,73,79,30,75,18,37,19,56,55
Maryland,70,76,32,25,14,23,33,29,29
Massachusetts,56,37,39,26,20,17,33,46,38
Michigan,52,39,22,21,15,15,23,33,20
Minnesota,39,25,25,39,15,15,27,24,29
Mississippi,83,44,49,62,26,15,16,64,0
Missouri,24,39,39,57,27,14,20,17,30
Montana,100,81,40,0,51,0,0,39,76
Nebraska,23,0,29,48,60,41,56,51,35
Nevada,41,61,22,42,21,14,10,46,41
New Hampshire,63,34,65,82,50,32,49,59,71
New Jersey,36,36,34,38,28,22,27,43,39
New Mexico,0,37,73,47,12,29,18,72,36
New York,52,44,29,40,17,20,19,39,34
North Carolina,49,60,45,65,17,19,26,34,37
North Dakota,0,0,76,96,32,31,32,100,100
Ohio,56,63,43,43,25,20,30,26,27
Oklahoma,71,76,28,21,10,38,7,55,31
Oregon,36,51,38,43,37,10,18,42,32
Pennsylvania,39,45,48,26,17,22,23,27,29
Rhode Island,75,40,0,41,0,20,20,0,61
South Carolina,74,53,27,69,27,34,32,27,22
South Dakota,0,67,100,63,0,48,47,49,0
Tennessee,73,58,51,60,29,28,33,41,30
Texas,58,47,30,52,20,23,22,38,33
Utah,34,52,28,63,28,27,27,38,63
Vermont,76,83,61,81,100,98,40,60,0
Virginia,43,59,26,39,19,20,23,25,7
Washington,48,56,37,36,22,20,21,20,29
West Virginia,95,68,25,48,64,0,32,49,96
Wisconsin,68,50,22,28,24,20,33,22,53
Wyoming,93,0,78,100,51,100,100,76,0
