geoName,food delivery,food delivery,food delivery,food delivery,food delivery,food delivery,food delivery,food delivery,food delivery
Alabama,26,12,13,32,34,5,26,20,30
Alaska,69,48,37,89,43,85,0,0,0
Arizona,42,35,22,25,30,31,44,26,6
Arkansas,16,26,45,15,14,43,40,42,74
California,23,22,16,21,20,16,25,12,29
Colorado,54,35,27,40,29,25,35,20,35
Connecticut,21,44,21,22,19,37,43,23,11
Delaware,100,100,50,58,34,46,100,0,0
District of Columbia,74,69,41,48,47,94,73,85,0
Florida,37,33,20,28,25,24,38,16,57
Georgia,32,35,26,31,22,17,40,23,40
Hawaii,48,20,39,0,18,17,25,17,34
Idaho,39,32,13,29,22,15,63,9,58
Illinois,33,31,27,21,20,21,33,15,28
Indiana,25,33,24,33,26,15,28,24,14
Iowa,29,30,20,32,20,20,22,19,30
Kansas,51,25,19,22,26,35,43,22,86
Kentucky,19,25,22,33,18,21,34,24,23
Louisiana,36,35,25,38,26,14,21,18,35
Maine,20,60,32,56,27,0,26,0,0
Maryland,29,38,29,34,31,23,27,18,43
Massachusetts,45,25,19,20,21,27,37,18,27
Michigan,30,36,22,20,16,14,32,18,22
Minnesota,41,23,26,33,21,26,43,24,60
Mississippi,45,33,22,26,21,41,22,36,40
Missouri,45,30,21,35,26,30,33,33,62
Montana,27,27,86,37,51,37,88,100,100
Nebraska,19,26,10,18,30,23,16,7,0
Nevada,23,38,30,17,24,35,34,8,26
New Hampshire,43,43,28,16,33,49,46,43,61
New Jersey,41,42,28,31,15,19,21,25,42
New Mexico,43,13,25,23,23,29,25,9,23
New York,29,32,17,24,27,23,29,18,35
North Carolina,33,35,23,25,18,25,24,23,36
North Dakota,0,35,41,64,32,47,45,20,0
Ohio,27,32,22,19,20,22,26,20,48
Oklahoma,47,31,21,32,14,28,39,5,14
Oregon,14,37,25,11,18,18,44,6,21
Pennsylvania,34,45,24,25,26,20,24,17,59
Rhode Island,0,30,42,92,30,30,59,35,39
South Carolina,59,29,25,17,32,20,28,25,56
South Dakota,52,67,0,32,32,32,89,39,64
Tennessee,33,38,21,17,33,21,25,21,58
Texas,25,28,18,21,20,21,27,15,31
Utah,30,15,21,14,28,31,15,17,13
Vermont,0,42,100,60,0,0,57,72,0
Virginia,40,48,14,18,16,19,40,25,14
Washington,20,31,15,25,24,23,33,22,27
West Virginia,60,26,14,24,16,24,0,0,0
Wisconsin,47,29,20,24,28,12,47,17,23
Wyoming,0,52,42,100,100,100,0,30,0
