geoName,grocery,grocery,grocery,grocery,grocery,grocery,grocery,grocery,grocery
Alabama,66,73,60,56,60,64,52,60,69
Alaska,65,53,51,94,48,17,29,22,89
Arizona,59,45,51,65,41,43,53,54,54
Arkansas,62,68,100,92,68,67,50,69,48
California,48,50,44,54,34,38,37,44,40
Colorado,52,52,52,56,38,52,41,42,62
Connecticut,44,48,27,35,26,34,30,22,17
Delaware,35,62,68,42,26,42,21,64,23
District of Columbia,50,100,64,61,13,38,83,100,0
Florida,37,41,32,43,29,36,36,32,41
Georgia,44,44,38,47,37,40,36,39,42
Hawaii,33,61,21,53,33,25,64,32,0
Idaho,31,84,65,64,55,47,41,39,30
Illinois,55,54,44,60,41,45,43,50,57
Indiana,52,49,55,68,40,51,48,55,47
Iowa,57,53,49,82,38,59,37,24,8
Kansas,46,47,42,75,43,75,58,42,18
Kentucky,45,39,37,65,51,55,26,29,24
Louisiana,57,62,68,93,67,74,34,53,62
Maine,34,39,16,48,34,15,21,29,37
Maryland,54,41,41,59,31,39,48,49,55
Massachusetts,40,51,39,37,25,23,30,22,32
Michigan,38,43,40,56,34,46,37,48,34
Minnesota,52,40,35,55,38,43,45,47,43
Mississippi,67,59,36,64,64,78,63,50,74
Missouri,56,40,41,53,40,47,49,43,53
Montana,46,30,44,45,61,50,23,25,52
Nebraska,49,54,46,35,34,42,46,64,36
Nevada,70,64,62,58,38,42,44,39,49
New Hampshire,19,24,28,66,55,48,33,67,32
New Jersey,32,29,27,28,22,24,22,21,16
New Mexico,63,67,74,81,100,100,100,75,96
New York,36,33,34,40,30,35,33,33,31
North Carolina,54,56,49,63,32,33,50,58,75
North Dakota,40,49,47,58,48,70,37,16,33
Ohio,47,55,44,48,36,48,36,35,44
Oklahoma,72,63,62,85,63,82,58,78,85
Oregon,66,61,61,79,48,69,56,64,54
Pennsylvania,49,36,46,49,36,45,39,46,49
Rhode Island,35,22,17,44,30,28,14,20,41
South Carolina,51,66,44,74,46,55,43,44,54
South Dakota,88,66,92,68,24,38,44,64,100
Tennessee,68,58,53,63,41,42,50,51,48
Texas,50,45,42,53,36,39,37,38,34
Utah,50,59,74,100,63,51,77,40,57
Vermont,0,47,23,88,22,39,45,0,0
Virginia,57,43,45,64,42,39,45,40,43
Washington,86,93,80,77,40,47,48,52,57
West Virginia,48,24,32,46,45,32,25,38,48
Wisconsin,49,41,42,61,46,48,38,40,28
Wyoming,100,87,58,36,19,89,57,74,0
