geoName,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel
Alabama,71,66,65,70,68,66,68,73,79
Alaska,34,60,59,76,53,56,43,53,37
Arizona,52,52,55,56,59,63,57,73,62
Arkansas,54,58,52,76,58,71,62,67,65
California,60,57,62,61,64,60,55,63,72
Colorado,49,47,45,50,47,51,50,57,55
Connecticut,57,48,47,52,61,73,54,60,58
Delaware,41,46,51,65,50,49,59,54,88
District of Columbia,82,100,93,56,61,100,88,92,96
Florida,83,78,81,87,80,88,80,90,88
Georgia,69,65,71,73,70,79,65,85,76
Hawaii,46,79,69,82,66,71,63,84,59
Idaho,32,36,51,36,29,47,33,43,57
Illinois,50,52,50,58,54,58,55,59,71
Indiana,45,43,53,53,53,47,52,61,54
Iowa,37,31,39,37,39,37,43,36,30
Kansas,40,36,41,45,38,46,44,41,30
Kentucky,56,72,60,74,74,71,61,73,100
Louisiana,69,84,74,74,78,75,66,78,84
Maine,50,29,30,37,40,63,34,49,31
Maryland,55,52,56,56,52,52,54,62,58
Massachusetts,50,44,45,57,52,60,51,51,42
Michigan,39,49,55,46,45,45,42,47,45
Minnesota,37,41,44,46,34,38,27,35,45
Mississippi,77,73,100,100,99,99,96,77,53
Missouri,46,50,44,63,57,47,50,62,54
Montana,44,32,31,43,26,23,32,25,22
Nebraska,37,42,56,41,38,35,41,47,30
Nevada,100,87,81,90,82,96,100,100,85
New Hampshire,28,28,31,37,32,36,36,44,54
New Jersey,61,53,58,58,60,59,58,59,64
New Mexico,48,48,63,64,67,62,37,47,61
New York,65,62,63,80,100,90,67,74,72
North Carolina,60,65,61,72,71,63,62,66,61
North Dakota,41,27,46,43,47,58,41,55,70
Ohio,44,48,53,59,52,51,51,48,54
Oklahoma,39,46,45,59,50,53,44,56,54
Oregon,38,38,35,42,38,42,42,36,41
Pennsylvania,53,52,57,58,58,60,54,54,54
Rhode Island,48,41,58,54,63,53,45,76,60
South Carolina,57,67,69,77,71,74,68,78,87
South Dakota,39,29,39,26,43,45,26,23,28
Tennessee,60,70,70,76,77,71,69,79,79
Texas,57,60,59,62,57,60,59,67,70
Utah,36,37,44,46,44,43,41,46,57
Vermont,27,35,22,45,25,12,22,25,16
Virginia,54,54,54,57,56,58,45,53,50
Washington,36,41,40,44,47,41,33,42,39
West Virginia,53,37,35,51,58,35,39,70,41
Wisconsin,37,41,43,49,44,44,42,48,47
Wyoming,25,52,42,36,57,30,37,40,0
