geoName,liquor store,liquor store,liquor store,liquor store,liquor store,liquor store,liquor store,liquor store,liquor store
Alabama,20,21,47,31,23,36,22,29,5
Alaska,39,29,0,92,38,35,21,0,0
Arizona,14,11,13,7,10,14,9,16,14
Arkansas,45,16,51,68,30,67,52,53,50
California,19,17,23,20,16,16,11,14,10
Colorado,54,58,48,55,54,41,52,80,69
Connecticut,27,16,35,46,19,29,25,35,24
Delaware,100,90,82,100,81,96,59,85,100
District of Columbia,93,100,100,64,41,39,19,81,49
Florida,39,38,38,26,40,36,29,43,32
Georgia,64,50,50,54,38,55,42,57,37
Hawaii,17,18,21,19,16,14,9,21,0
Idaho,53,67,35,55,71,55,52,80,39
Illinois,40,33,35,28,21,27,23,37,38
Indiana,43,39,33,37,37,36,30,31,25
Iowa,14,10,23,9,7,16,15,19,14
Kansas,38,51,79,38,47,33,29,72,77
Kentucky,40,44,44,19,26,17,23,29,21
Louisiana,11,17,27,9,5,12,7,18,21
Maine,23,0,22,0,24,38,14,21,0
Maryland,71,63,59,69,50,41,44,57,76
Massachusetts,34,29,39,47,30,22,28,41,25
Michigan,19,19,21,20,22,25,19,24,21
Minnesota,52,74,66,43,44,71,42,56,68
Mississippi,55,44,36,33,32,30,8,36,27
Missouri,16,14,21,13,13,18,17,22,11
Montana,15,16,44,40,55,52,12,41,0
Nebraska,21,16,42,32,11,19,8,16,20
Nevada,21,14,21,22,9,17,5,27,24
New Hampshire,84,63,96,88,100,100,62,100,82
New Jersey,58,52,52,39,42,41,36,71,48
New Mexico,14,15,14,13,15,0,12,25,10
New York,53,41,41,46,37,33,33,45,52
North Carolina,18,12,18,16,14,16,15,21,9
North Dakota,41,64,94,70,28,53,16,38,29
Ohio,34,22,35,24,20,31,25,37,27
Oklahoma,44,56,75,53,34,29,31,38,49
Oregon,40,52,94,71,63,59,55,69,65
Pennsylvania,45,39,44,36,24,29,25,44,32
Rhode Island,59,49,69,33,18,25,36,38,71
South Carolina,32,16,26,32,24,20,28,35,25
South Dakota,19,20,55,67,56,26,24,19,29
Tennessee,59,38,69,43,32,43,43,56,47
Texas,33,23,29,22,18,27,22,33,16
Utah,81,57,96,94,64,65,54,98,73
Vermont,46,25,46,43,35,67,100,27,0
Virginia,11,9,10,10,13,10,11,11,2
Washington,9,9,20,16,13,16,12,13,7
West Virginia,34,31,28,0,0,20,12,37,28
Wisconsin,18,11,21,32,19,18,9,16,17
Wyoming,86,31,58,54,66,80,25,35,0
