geoName,nightclub,nightclub,nightclub,nightclub,nightclub,nightclub,nightclub,nightclub,nightclub
Alabama,16,17,29,0,0,44,33,0,0
Alaska,0,0,0,0,0,0,0,0,0
Arizona,10,20,18,8,0,13,19,0,15
Arkansas,0,30,0,0,40,40,0,54,0
California,19,14,7,8,11,11,30,11,5
Colorado,16,11,20,14,23,0,0,0,17
Connecticut,0,17,30,14,23,23,69,15,0
Delaware,0,0,0,61,96,0,0,0,0
District of Columbia,81,79,0,0,100,100,0,0,0
Florida,25,25,39,14,24,44,70,36,38
Georgia,28,31,30,10,23,23,40,23,18
Hawaii,54,0,0,0,0,74,0,0,0
Idaho,0,0,0,0,0,0,0,0,0
Illinois,12,15,9,11,13,13,20,5,0
Indiana,21,33,20,10,23,0,0,20,0
Iowa,23,25,0,0,0,0,0,0,0
Kansas,57,29,100,48,37,0,0,25,0
Kentucky,17,18,0,16,0,0,38,68,0
Louisiana,36,18,32,0,0,24,37,17,30
Maine,0,0,0,100,0,77,0,0,0
Maryland,15,10,17,12,52,13,20,9,0
Massachusetts,18,9,16,0,23,30,18,16,0
Michigan,14,11,13,12,24,10,29,8,22
Minnesota,24,0,0,10,16,0,0,11,0
Mississippi,31,0,0,54,0,0,0,0,0
Missouri,18,12,23,11,0,17,50,31,39
Montana,0,0,0,0,0,0,0,0,0
Nebraska,0,37,66,0,0,0,70,63,57
Nevada,52,55,0,18,58,29,65,100,100
New Hampshire,0,0,0,0,0,68,0,45,76
New Jersey,7,7,12,9,9,0,14,19,11
New Mexico,0,0,0,31,49,0,0,33,0
New York,3,5,5,6,11,4,12,6,5
North Carolina,26,13,11,5,13,8,26,6,0
North Dakota,100,100,0,0,0,0,0,0,0
Ohio,14,14,10,5,8,8,23,20,0
Oklahoma,0,22,38,0,0,0,44,0,0
Oregon,24,16,0,14,0,0,33,0,0
Pennsylvania,12,18,9,9,14,17,10,14,8
Rhode Island,0,0,0,0,85,0,0,58,0
South Carolina,15,23,27,0,21,20,0,14,23
South Dakota,0,0,0,0,0,0,0,0,0
Tennessee,10,16,18,9,14,27,72,19,16
Texas,18,23,20,7,16,16,20,12,4
Utah,0,0,0,18,30,0,0,40,0
Vermont,0,0,0,0,0,0,0,0,0
Virginia,14,11,13,9,9,28,30,0,0
Washington,16,17,0,15,17,0,0,0,0
West Virginia,0,49,87,0,0,67,100,0,0
Wisconsin,11,12,0,11,0,17,49,33,19
Wyoming,0,0,0,0,0,0,0,0,0
