geoName,restaurant delivery,restaurant delivery,restaurant delivery,restaurant delivery,restaurant delivery,restaurant delivery,restaurant delivery,restaurant delivery,restaurant delivery
Alabama,14,29,21,0,0,0,0,33,0
Alaska,0,0,0,0,100,0,0,0,0
Arizona,13,17,19,13,7,10,0,0,0
Arkansas,26,0,0,0,0,0,0,0,0
California,4,6,5,4,4,4,5,5,21
Colorado,19,20,60,0,0,11,26,0,46
Connecticut,15,60,22,23,0,0,27,26,0
Delaware,0,0,0,0,0,0,0,0,0
District of Columbia,72,0,0,100,0,0,0,0,0
Florida,7,21,8,8,7,15,16,17,89
Georgia,10,10,15,8,4,6,0,12,24
Hawaii,0,0,0,0,41,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0
Illinois,4,0,19,7,4,5,15,10,21
Indiana,10,19,15,15,9,11,17,0,46
Iowa,0,0,0,33,0,24,0,24,0
Kansas,0,49,37,0,0,0,0,0,0
Kentucky,47,32,23,0,0,0,58,0,77
Louisiana,0,0,0,0,0,0,0,19,0
Maine,0,0,0,0,0,0,89,0,0
Maryland,27,18,13,13,7,10,0,10,41
Massachusetts,16,16,12,36,7,9,28,18,36
Michigan,0,19,10,10,0,7,22,0,0
Minnesota,11,0,16,33,13,0,19,0,0
Mississippi,28,0,0,0,0,0,0,0,0
Missouri,11,22,0,17,9,12,0,25,0
Montana,0,0,100,0,0,0,0,0,0
Nebraska,0,0,0,50,28,0,0,0,0
Nevada,0,0,0,0,16,21,0,0,88
New Hampshire,0,0,0,0,37,50,0,0,0
New Jersey,21,42,18,9,8,21,16,11,0
New Mexico,0,0,0,0,0,0,58,76,0
New York,7,5,8,4,5,4,9,6,38
North Carolina,17,11,25,17,0,0,24,0,0
North Dakota,0,0,0,0,0,100,0,0,0
Ohio,5,20,7,0,0,0,9,9,23
Oklahoma,19,39,28,59,0,0,0,0,0
Oregon,14,0,0,22,12,16,25,17,0
Pennsylvania,4,9,0,0,4,0,0,21,41
Rhode Island,0,100,0,0,0,0,100,0,0
South Carolina,26,27,0,0,0,0,47,31,0
South Dakota,0,0,0,0,0,0,0,100,0
Tennessee,0,18,0,0,0,0,16,11,0
Texas,5,8,9,4,6,4,3,5,10
Utah,18,38,0,0,0,0,0,0,0
Vermont,100,0,0,0,0,0,0,0,0
Virginia,0,13,19,19,5,7,11,23,0
Washington,7,15,11,12,6,8,0,9,0
West Virginia,0,0,0,0,0,0,0,0,0
Wisconsin,25,0,0,0,0,12,38,31,100
Wyoming,0,0,0,0,0,0,0,0,0
