geoName,restaurants,restaurants,restaurants,restaurants,restaurants,restaurants,restaurants,restaurants,restaurants
Alabama,87,72,73,78,83,70,73,85,67
Alaska,39,53,38,32,53,40,48,41,15
Arizona,79,69,65,86,88,63,74,67,52
Arkansas,83,75,62,88,83,72,69,65,55
California,59,61,57,66,59,51,56,55,52
Colorado,73,77,73,100,93,90,84,86,65
Connecticut,57,62,64,78,68,67,69,69,57
Delaware,90,76,70,100,72,59,78,49,46
District of Columbia,79,75,51,42,81,71,85,61,94
Florida,92,87,82,97,88,88,95,87,89
Georgia,100,88,80,92,91,88,90,95,84
Hawaii,72,66,100,69,83,71,73,63,76
Idaho,50,68,59,63,48,70,50,64,60
Illinois,74,70,72,86,81,72,74,74,49
Indiana,68,61,54,77,75,62,76,70,45
Iowa,62,46,47,77,50,73,72,59,76
Kansas,74,64,67,95,76,70,77,53,36
Kentucky,58,63,61,76,70,83,74,60,38
Louisiana,91,75,77,70,67,64,69,83,72
Maine,53,57,45,72,50,71,82,92,56
Maryland,64,56,60,65,66,54,72,67,62
Massachusetts,70,62,62,79,74,78,79,69,54
Michigan,81,82,82,86,70,62,70,61,51
Minnesota,57,55,61,98,100,82,74,51,39
Mississippi,79,77,71,78,87,81,73,75,56
Missouri,78,77,69,73,83,65,87,77,61
Montana,58,44,59,51,55,49,67,77,61
Nebraska,54,53,65,62,69,47,63,51,51
Nevada,87,89,82,83,66,77,77,87,67
New Hampshire,60,51,57,65,61,53,68,71,32
New Jersey,60,56,58,68,64,58,63,56,55
New Mexico,51,66,61,52,49,55,48,40,36
New York,61,56,55,68,73,65,65,54,42
North Carolina,92,93,73,83,85,74,89,88,71
North Dakota,55,40,48,47,35,37,53,53,11
Ohio,74,66,68,76,79,71,65,61,53
Oklahoma,63,66,71,71,56,64,80,53,64
Oregon,56,63,53,76,62,41,48,46,45
Pennsylvania,63,59,61,68,62,58,71,60,47
Rhode Island,57,66,91,66,77,47,57,62,47
South Carolina,98,88,92,93,83,90,100,100,88
South Dakota,53,52,35,60,69,52,55,36,44
Tennessee,90,100,83,86,93,100,99,90,100
Texas,77,71,66,75,72,68,74,73,64
Utah,56,59,69,82,55,49,54,65,40
Vermont,41,38,68,59,70,59,58,70,39
Virginia,69,58,60,63,57,52,69,59,48
Washington,67,70,65,69,60,48,51,53,48
West Virginia,49,47,37,45,43,48,38,48,37
Wisconsin,60,57,46,67,61,59,70,67,47
Wyoming,42,58,74,66,61,51,46,70,67
